"year","month","haul_number","strata","meandepth","ptot","sqkm","W_sqkm"
1994,5,1,"B",79,NA,0.04569269034,NA
1994,5,10,"D",209.5,NA,0.08717591088,NA
1994,5,11,"C",132.5,NA,0.04781181211,NA
1994,5,12,"C",124,NA,0.0458355684,NA
1994,5,13,"C",102,NA,0.04749028004,NA
1994,5,14,"B",100,NA,0.04531666112,NA
1994,5,15,"A",18,700,0.04420888604,15.8339207951687
1994,5,16,"B",60,NA,0.04546698793,NA
1994,5,17,"A",21,750,0.04309916502,17.4017292365633
1994,5,18,"A",40,NA,0.04342772572,NA
1994,5,19,"B",92,NA,0.04513552621,NA
1994,5,2,"B",86,NA,0.04943336362,NA
1994,5,20,"B",92,NA,0.04177629697,NA
1994,5,21,"B",78,NA,0.04796781753,NA
1994,5,22,"B",68,NA,0.0496413764,NA
1994,5,23,"B",64,NA,0.04898056587,NA
1994,5,24,"B",68,NA,0.04946408577,NA
1994,5,25,"B",68,220,0.04828752068,4.5560425737725
1994,5,26,"B",66,165,0.04794905675,3.44115215571993
1994,5,27,"B",61,200,0.04333950037,4.61472786470888
1994,5,28,"B",58.5,180,0.04296880178,4.18908586098348
1994,5,29,"A",43,1280,0.0484007242,26.4458852869809
1994,5,3,"B",69.5,NA,0.04279151115,NA
1994,5,30,"A",48,520,0.0466551122,11.1456167497975
1994,5,31,"A",49.5,320,0.04325334252,7.39827216479361
1994,5,32,"A",35,100,0.06644739164,1.50494996916932
1994,5,33,"A",47,320,0.04391251488,7.28721643190935
1994,5,34,"A",50,380,0.05337372268,7.11960831884024
1994,5,35,"A",49,515,0.04797848848,10.7339771700953
1994,5,36,"A",49,600,0.0527751184,11.3689939158905
1994,5,37,"A",44,1635,0.04924519564,33.2012083361885
1994,5,38,"A",36,160,0.046524121,3.43907625895823
1994,5,39,"A",33,440,0.03664067748,12.0085115849774
1994,5,4,"B",95,NA,0.04510563222,NA
1994,5,40,"A",24,108,0.05007241197,2.15687632672271
1994,5,41,"A",33,800,0.044884242,17.8236272765841
1994,5,42,"A",37,NA,0.04431911224,NA
1994,5,43,"A",33,92,0.04270524632,2.15430205719043
1994,5,44,"A",29,500,0.05758993512,8.68207263922335
1994,5,45,"A",35,430,0.04744678424,9.06278490497758
1994,5,46,"A",36.5,190,0.04661795116,4.07568319225121
1994,5,47,"A",38,200,0.057080014,3.50385338027422
1994,5,48,"A",40,750,0.0432400654,17.3450246446667
1994,5,49,"A",42,310,0.05124690572,6.04914571220672
1994,5,5,"B",100.5,NA,0.04828068692,NA
1994,5,50,"A",40,280,0.05159094964,5.42730850960936
1994,5,51,"A",40,290,0.04588294824,6.32043081632629
1994,5,52,"A",46,430,0.04403762176,9.76437833867257
1994,5,53,"B",53,460,0.0350509446,13.1237547304217
1994,5,54,"A",47,180,0.03892959788,4.62373129449854
1994,5,55,"A",23,NA,0.04110936216,NA
1994,5,56,"A",26,NA,0.05111432824,NA
1994,5,57,"A",18,340,0.04537859198,7.49251982410231
1994,5,58,"B",57,NA,0.041727315,NA
1994,5,59,"A",18,540,0.0415395571,12.9996571388576
1994,5,6,"B",97,NA,0.04163540694364,NA
1994,5,60,"A",13,NA,0.04837971048,NA
1994,5,61,"A",46,720,0.05663787556,12.7123412183294
1994,5,62,"A",18,250,0.05827534978,4.28997854056295
1994,6,63,"C",108,NA,0.04345591159,NA
1994,6,64,"D",228,NA,0.09013510896,NA
1994,6,65,"D",249.5,NA,0.09906431712,NA
1994,6,66,"C",181,NA,0.04751533584,NA
1994,6,67,"C",181,NA,0.053106375,NA
1994,6,68,"C",186.5,NA,0.04726042524,NA
1994,6,69,"C",183,NA,0.0515769114,NA
1994,5,7,"C",121.5,NA,0.04906172817,NA
1994,6,70,"A",22,NA,0.04053480969,NA
1994,6,71,"B",88,NA,0.04879105264,NA
1994,6,72,"A",49,NA,0.04789500956,NA
1994,6,73,"B",51,NA,0.04762477552,NA
1994,6,74,"B",98.5,NA,0.05902106494164,NA
1994,6,75,"C",158.5,NA,0.05138446293,NA
1994,6,76,"C",161,NA,0.05252942745,NA
1994,6,77,"C",168.5,NA,0.0498775074,NA
1994,6,78,"C",156,NA,0.0602269764,NA
1994,6,79,"C",110,NA,0.04821038227,NA
1994,5,8,"C",130,NA,0.04464567081,NA
1994,6,80,"D",443.5,NA,0.089135025,NA
1994,6,81,"E",636,NA,0.096895018668,NA
1994,6,82,"C",185,NA,0.04297792716,NA
1994,6,83,"C",156.5,NA,0.05674193226,NA
1994,6,84,"C",124,NA,0.04566268547451,NA
1994,6,85,"B",98,NA,0.05839130826,NA
1994,6,86,"B",80,NA,0.0393022365604,NA
1994,5,9,"D",238,NA,0.0923028936,NA
1995,6,1,"B",81,NA,0.0494308194,NA
1995,6,10,"D",223.5,NA,0.11368924114,NA
1995,6,11,"C",133.5,NA,0.0460168855,NA
1995,6,12,"C",121.5,NA,0.048042365,NA
1995,6,13,"B",99.5,NA,0.04775349125,NA
1995,6,14,"B",94.5,NA,0.04797183435,NA
1995,6,15,"A",20,NA,0.04570178973,NA
1995,6,16,"A",48,NA,0.0478279725,NA
1995,6,17,"A",23.5,NA,0.0490948798,NA
1995,6,18,"A",34.5,NA,0.04574898711,NA
1995,6,19,"B",84.5,NA,0.0503260104,NA
1995,6,2,"B",72,NA,0.047607885,NA
1995,6,20,"B",86.5,NA,0.0500289456,NA
1995,6,21,"B",75,NA,0.051595554,NA
1995,6,22,"B",66.5,NA,0.0493458189,NA
1995,6,23,"B",66,NA,0.0478595943,NA
1995,6,24,"B",65.5,260,0.0510375852,5.09428490750773
1995,6,25,"B",66,NA,0.05046944328,NA
1995,6,26,"B",60.5,NA,0.05344106868,NA
1995,6,27,"B",60.5,NA,0.0503102838,NA
1995,6,28,"B",57,NA,0.0495197388,NA
1995,6,29,"A",45,240,0.04812253578,4.98726835795185
1995,6,3,"A",49.5,NA,0.04948961004,NA
1995,6,30,"A",46,100,0.0463101261,2.15935494937035
1995,6,31,"A",43,250,0.0524131335,4.76979686780223
1995,6,32,"A",30.5,100,0.04505088456,2.21971224264903
1995,6,33,"A",43,200,0.0517490757,3.86480332826505
1995,6,34,"A",49,70,0.0444918726,1.57332105639447
1995,6,35,"B",53.5,NA,0.0480018924,NA
1995,6,36,"A",48.5,330,0.0475591872,6.93872245150565
1995,6,37,"A",45.5,180,0.0436064622,4.12782855840114
1995,6,38,"A",31,NA,0.0549174006,NA
1995,6,39,"A",33,100,0.04880512494,2.04896514706064
1995,6,4,"B",95,NA,0.04899216153,NA
1995,6,40,"A",24.5,40,0.0480941812,0.831701444997259
1995,6,41,"A",31.5,NA,0.04688146458,NA
1995,6,42,"A",32,NA,0.05102353971,NA
1995,6,43,"A",33,NA,0.05369184279,NA
1995,6,44,"A",30.5,180,0.04802945544,3.74770020503068
1995,6,45,"A",30.5,NA,0.06806566570077,NA
1995,6,46,"A",34,NA,0.05195434311,NA
1995,6,47,"A",38.5,65,0.04472510337,1.45332252140975
1995,6,48,"A",38.5,120,0.04536115236,2.64543543884519
1995,6,49,"A",41.5,100,0.0439384911,2.27590883292758
1995,6,5,"B",94.5,NA,0.04604637822,NA
1995,6,50,"A",40,NA,0.04588860762,NA
1995,6,51,"A",32.5,NA,0.0421964208,NA
1995,6,52,"A",42,NA,0.04559385321,NA
1995,6,53,"A",49,230,0.05838016032,3.93969455957808
1995,6,54,"A",35.5,NA,0.0485569107,NA
1995,6,55,"A",28.5,NA,0.04800236385,NA
1995,6,56,"A",26.5,NA,0.0465173228,NA
1995,6,57,"A",23,140,0.0502926857,2.78370498714488
1995,6,58,"B",53,NA,0.0539784126,NA
1995,6,59,"A",16,NA,0.05077485061,NA
1995,6,6,"B",93,NA,0.04691859339,NA
1995,6,60,"A",15,NA,0.05047990521,NA
1995,6,61,"A",40,NA,0.04784329476,NA
1995,6,62,"A",23,NA,0.0553113408,NA
1995,6,63,"C",104.5,NA,0.05258697506,NA
1995,6,64,"D",210,NA,0.10772369348,NA
1995,6,65,"D",227.5,NA,0.11245143298,NA
1995,6,66,"C",184,NA,0.04907538616,NA
1995,6,67,"C",165.5,NA,0.04948548688,NA
1995,6,68,"C",164,NA,0.0486994605,NA
1995,6,69,"C",169.5,NA,0.04810139695,NA
1995,6,7,"C",115.5,NA,0.04487997682,NA
1995,6,70,"A",34.5,NA,0.04252220199,NA
1995,6,71,"B",82,NA,0.0490239144,NA
1995,6,72,"A",25.5,NA,0.0462785043,NA
1995,6,73,"B",51,NA,0.0639076578,NA
1995,6,74,"C",102,NA,0.04773688134,NA
1995,6,75,"C",135,NA,0.05048032304,NA
1995,6,76,"C",152.5,NA,0.04713314476,NA
1995,6,77,"C",154,NA,0.04806696512,NA
1995,6,78,"C",140,NA,0.04904813764,NA
1995,6,79,"C",104,NA,0.05300222281,NA
1995,6,8,"C",123.5,NA,0.0513735255,NA
1995,6,80,"D",466.5,NA,0.09196153846,NA
1995,6,81,"E",592.5,NA,0.10597770675,NA
1995,6,82,"C",159.5,NA,0.0480159593,NA
1995,6,83,"C",138,NA,0.0530290234,NA
