"Length","Year","Frequency"
15,1994,0
45,1994,0.206837110369843
60,1994,0.206837110369843
65,1994,0.206837110369843
80,1994,2.65705413927931
85,1994,3.10255665554764
90,1994,3.51623087628733
95,1994,3.16089292716138
100,1994,4.10491391186821
105,1994,2.06837110369843
110,1994,1.71303315457248
115,1994,0.206837110369843
120,1994,1.29935893383279
125,1994,0.206837110369843
130,1994,0.620511331109528
140,1994,0.206837110369843
160,1994,0.206837110369843
165,1994,0
195,1994,0.265173381983576
215,1994,0
15,1995,0
65,1995,0
115,1995,0
165,1995,0
215,1995,0
15,1996,0
50,1996,0.475896974529829
55,1996,0.237948487264914
65,1996,0
70,1996,0.951793949059658
80,1996,0.237948487264914
90,1996,0.237948487264914
100,1996,0.237948487264914
105,1996,0.475896974529829
110,1996,0.475896974529829
115,1996,0.951793949059658
120,1996,0.713845461794743
125,1996,0.275923745555471
135,1996,0.237948487264914
140,1996,0.237948487264914
145,1996,0.237948487264914
150,1996,0.237948487264914
165,1996,0
215,1996,0
15,1997,0
50,1997,0.256719492453087
60,1997,0.513438984906174
65,1997,0
70,1997,0.256719492453087
75,1997,0.256719492453087
80,1997,0.256719492453087
90,1997,0.256719492453087
95,1997,1.28359746226544
100,1997,2.31047543207778
105,1997,3.92698664328275
110,1997,2.86201154522718
115,1997,2.31047543207778
120,1997,1.65460833944819
125,1997,3.59407289434322
130,1997,0.551536113149395
135,1997,0.513438984906174
140,1997,0.808255605602482
145,1997,0.513438984906174
160,1997,0.770158477359261
165,1997,0.256719492453087
180,1997,0.256719492453087
215,1997,0.256719492453087
15,1998,0
65,1998,0
90,1998,0.741824174914155
115,1998,0
165,1998,0
215,1998,0
15,1999,0
20,1999,1.0579155002291
25,1999,0.20963040057822
30,1999,0.911652901618285
35,1999,5.25052351179349
40,1999,3.00795690740048
45,1999,6.08904511410637
50,1999,13.070216135155
55,1999,10.6911504294892
60,1999,9.43336802601989
65,1999,7.54669442081591
70,1999,6.49854241792481
75,1999,5.03112961387727
80,1999,4.1926080115644
85,1999,3.77334721040796
90,1999,3.2175873079787
95,1999,1.0481520028911
100,1999,1.67704320462576
110,1999,0.41926080115644
115,1999,0.20963040057822
125,1999,0.41926080115644
140,1999,0.20963040057822
165,1999,0
170,1999,0.20963040057822
215,1999,0
15,2000,0
20,2000,0.242117063103708
35,2000,0.242117063103708
45,2000,0.242117063103708
50,2000,1.45270237862225
55,2000,0.968468252414832
60,2000,1.45270237862225
65,2000,0.726351189311124
75,2000,0.484234126207416
80,2000,0.242117063103708
95,2000,0.726351189311124
100,2000,0.242117063103708
115,2000,0
120,2000,0.242117063103708
130,2000,0.242117063103708
135,2000,0.242117063103708
150,2000,0.242117063103708
165,2000,0
180,2000,0.242117063103708
185,2000,0.242117063103708
215,2000,0
15,2001,0
60,2001,0.514239005778657
65,2001,0.514239005778657
70,2001,0.257119502889329
80,2001,0.257119502889329
85,2001,0.257119502889329
90,2001,0.514239005778657
100,2001,0.771358508667986
105,2001,1.28559751444664
110,2001,1.28559751444664
115,2001,2.31407552600396
120,2001,0.771358508667986
125,2001,1.54271701733597
130,2001,1.28559751444664
135,2001,1.54271701733597
140,2001,0.771358508667986
145,2001,0.257119502889329
150,2001,0.514239005778657
155,2001,1.02847801155731
160,2001,0.257119502889329
