"year","month","haul_number","strata","meandepth","ptot","sqkm","W_sqkm"
1994,5,1,"B",79,1050,0.04569269034,22.979605538368
1994,5,10,"D",209.5,3221,0.08717591088,36.9482804078043
1994,5,11,"C",132.5,2000,0.04781181211,41.8306671874019
1994,5,12,"C",124,1100,0.0458355684,23.9988296948882
1994,5,13,"C",102,1050,0.04749028004,22.1097875000023
1994,5,14,"B",100,1693,0.04531666112,37.3593278533227
1994,5,15,"A",18,NA,0.04420888604,NA
1994,5,16,"B",60,NA,0.04546698793,NA
1994,5,17,"A",21,NA,0.04309916502,NA
1994,5,18,"A",40,NA,0.04342772572,NA
1994,5,19,"B",92,1486,0.04513552621,32.9230680304059
1994,5,2,"B",86,1400,0.04943336362,28.3209536531231
1994,5,20,"B",92,859,0.04177629697,20.5618990265427
1994,5,21,"B",78,NA,0.04796781753,NA
1994,5,22,"B",68,NA,0.0496413764,NA
1994,5,23,"B",64,NA,0.04898056587,NA
1994,5,24,"B",68,NA,0.04946408577,NA
1994,5,25,"B",68,NA,0.04828752068,NA
1994,5,26,"B",66,NA,0.04794905675,NA
1994,5,27,"B",61,NA,0.04333950037,NA
1994,5,28,"B",58.5,NA,0.04296880178,NA
1994,5,29,"A",43,NA,0.0484007242,NA
1994,5,3,"B",69.5,750,0.04279151115,17.5268407177997
1994,5,30,"A",48,NA,0.0466551122,NA
1994,5,31,"A",49.5,NA,0.04325334252,NA
1994,5,32,"A",35,NA,0.06644739164,NA
1994,5,33,"A",47,NA,0.04391251488,NA
1994,5,34,"A",50,NA,0.05337372268,NA
1994,5,35,"A",49,NA,0.04797848848,NA
1994,5,36,"A",49,NA,0.0527751184,NA
1994,5,37,"A",44,NA,0.04924519564,NA
1994,5,38,"A",36,NA,0.046524121,NA
1994,5,39,"A",33,NA,0.03664067748,NA
1994,5,4,"B",95,4200,0.04510563222,93.1147573658818
1994,5,40,"A",24,NA,0.05007241197,NA
1994,5,41,"A",33,NA,0.044884242,NA
1994,5,42,"A",37,NA,0.04431911224,NA
1994,5,43,"A",33,NA,0.04270524632,NA
1994,5,44,"A",29,NA,0.05758993512,NA
1994,5,45,"A",35,NA,0.04744678424,NA
1994,5,46,"A",36.5,NA,0.04661795116,NA
1994,5,47,"A",38,NA,0.057080014,NA
1994,5,48,"A",40,NA,0.0432400654,NA
1994,5,49,"A",42,NA,0.05124690572,NA
1994,5,5,"B",100.5,1621,0.04828068692,33.574501594933
1994,5,50,"A",40,NA,0.05159094964,NA
1994,5,51,"A",40,NA,0.04588294824,NA
1994,5,52,"A",46,NA,0.04403762176,NA
1994,5,53,"B",53,NA,0.0350509446,NA
1994,5,54,"A",47,NA,0.03892959788,NA
1994,5,55,"A",23,NA,0.04110936216,NA
1994,5,56,"A",26,NA,0.05111432824,NA
1994,5,57,"A",18,NA,0.04537859198,NA
1994,5,58,"B",57,NA,0.041727315,NA
1994,5,59,"A",18,NA,0.0415395571,NA
1994,5,6,"B",97,646,0.04163540694364,15.5156403508788
1994,5,60,"A",13,NA,0.04837971048,NA
1994,5,61,"A",46,NA,0.05663787556,NA
1994,5,62,"A",18,NA,0.05827534978,NA
1994,6,63,"C",108,2456,0.04345591159,56.5170516539152
1994,6,64,"D",228,5200,0.09013510896,57.6911711762355
1994,6,65,"D",249.5,3021,0.09906431712,30.4953396725136
1994,6,66,"C",181,4240,0.04751533584,89.2343477120207
1994,6,67,"C",181,3058,0.053106375,57.5825407025051
1994,6,68,"C",186.5,1811,0.04726042524,38.3195874942576
1994,6,69,"C",183,1460,0.0515769114,28.307239816613
1994,5,7,"C",121.5,376,0.04906172817,7.66381483133149
1994,6,70,"A",22,NA,0.04053480969,NA
1994,6,71,"B",88,462,0.04879105264,9.46894922330989
1994,6,72,"A",49,NA,0.04789500956,NA
1994,6,73,"B",51,2600,0.04762477552,54.5934331786641
1994,6,74,"B",98.5,6100,0.05902106494164,103.352930111168
1994,6,75,"C",158.5,4400,0.05138446293,85.6289965703063
1994,6,76,"C",161,6000,0.05252942745,114.221690417454
1994,6,77,"C",168.5,1900,0.0498775074,38.0933230035469
1994,6,78,"C",156,5630,0.0602269764,93.4797052172787
1994,6,79,"C",110,2630,0.04821038227,54.5525647415697
1994,5,8,"C",130,2700,0.04464567081,60.4761884190401
1994,6,80,"D",443.5,1015,0.089135025,11.3872184362993
1994,6,81,"E",636,NA,0.096895018668,NA
1994,6,82,"C",185,4500,0.04297792716,104.704910109955
1994,6,83,"C",156.5,603,0.05674193226,10.6270614338081
1994,6,84,"C",124,4325,0.04566268547451,94.7162865051885
1994,6,85,"B",98,3050,0.05839130826,52.233801414745
1994,6,86,"B",80,1800,0.0393022365604,45.7989203040327
1994,5,9,"D",238,1700,0.0923028936,18.4176241252744
1995,6,1,"B",81,1150,0.0494308194,23.2648378877571
1995,6,10,"D",223.5,130,0.11368924114,1.14346791918432
1995,6,11,"C",133.5,620,0.0460168855,13.4733151377661
1995,6,12,"C",121.5,340,0.048042365,7.07708706680031
1995,6,13,"B",99.5,3100,0.04775349125,64.9167195707392
1995,6,14,"B",94.5,1400,0.04797183435,29.1837912593809
1995,6,15,"A",20,NA,0.04570178973,NA
1995,6,16,"A",48,NA,0.0478279725,NA
1995,6,17,"A",23.5,NA,0.0490948798,NA
1995,6,18,"A",34.5,NA,0.04574898711,NA
1995,6,19,"B",84.5,NA,0.0503260104,NA
1995,6,2,"B",72,450,0.047607885,9.45221574115296
1995,6,20,"B",86.5,580,0.0500289456,11.5932885061643
1995,6,21,"B",75,NA,0.051595554,NA
1995,6,22,"B",66.5,NA,0.0493458189,NA
1995,6,23,"B",66,NA,0.0478595943,NA
1995,6,24,"B",65.5,NA,0.0510375852,NA
1995,6,25,"B",66,NA,0.05046944328,NA
1995,6,26,"B",60.5,NA,0.05344106868,NA
1995,6,27,"B",60.5,NA,0.0503102838,NA
1995,6,28,"B",57,NA,0.0495197388,NA
1995,6,29,"A",45,NA,0.04812253578,NA
1995,6,3,"A",49.5,NA,0.04948961004,NA
1995,6,30,"A",46,NA,0.0463101261,NA
1995,6,31,"A",43,NA,0.0524131335,NA
1995,6,32,"A",30.5,NA,0.04505088456,NA
1995,6,33,"A",43,NA,0.0517490757,NA
1995,6,34,"A",49,NA,0.0444918726,NA
1995,6,35,"B",53.5,NA,0.0480018924,NA
1995,6,36,"A",48.5,NA,0.0475591872,NA
1995,6,37,"A",45.5,NA,0.0436064622,NA
1995,6,38,"A",31,NA,0.0549174006,NA
1995,6,39,"A",33,NA,0.04880512494,NA
1995,6,4,"B",95,1190,0.04899216153,24.289599863262
1995,6,40,"A",24.5,NA,0.0480941812,NA
1995,6,41,"A",31.5,NA,0.04688146458,NA
1995,6,42,"A",32,NA,0.05102353971,NA
1995,6,43,"A",33,NA,0.05369184279,NA
1995,6,44,"A",30.5,NA,0.04802945544,NA
1995,6,45,"A",30.5,NA,0.06806566570077,NA
1995,6,46,"A",34,NA,0.05195434311,NA
1995,6,47,"A",38.5,NA,0.04472510337,NA
1995,6,48,"A",38.5,NA,0.04536115236,NA
1995,6,49,"A",41.5,NA,0.0439384911,NA
1995,6,5,"B",94.5,2500,0.04604637822,54.2930865931631
1995,6,50,"A",40,NA,0.04588860762,NA
1995,6,51,"A",32.5,NA,0.0421964208,NA
1995,6,52,"A",42,NA,0.04559385321,NA
1995,6,53,"A",49,NA,0.05838016032,NA
1995,6,54,"A",35.5,NA,0.0485569107,NA
1995,6,55,"A",28.5,NA,0.04800236385,NA
1995,6,56,"A",26.5,1500,0.0465173228,32.24605178697
1995,6,57,"A",23,NA,0.0502926857,NA
1995,6,58,"B",53,NA,0.0539784126,NA
1995,6,59,"A",16,NA,0.05077485061,NA
1995,6,6,"B",93,1220,0.04691859339,26.0024845557289
1995,6,60,"A",15,NA,0.05047990521,NA
1995,6,61,"A",40,NA,0.04784329476,NA
1995,6,62,"A",23,NA,0.0553113408,NA
1995,6,63,"C",104.5,3000,0.05258697506,57.0483469828242
1995,6,64,"D",210,2590,0.10772369348,24.0429929231944
1995,6,65,"D",227.5,3800,0.11245143298,33.7923661735449
1995,6,66,"C",184,1180,0.04907538616,24.0446401410446
1995,6,67,"C",165.5,10,0.04948548688,0.202079450572034
1995,6,68,"C",164,560,0.0486994605,11.4991006933229
1995,6,69,"C",169.5,140,0.04810139695,2.91051838152488
1995,6,7,"C",115.5,1540,0.04487997682,34.3137432128469
1995,6,70,"A",34.5,NA,0.04252220199,NA
1995,6,71,"B",82,5,0.0490239144,0.101991039703676
1995,6,72,"A",25.5,200,0.0462785043,4.32166084503297
1995,6,73,"B",51,NA,0.0639076578,NA
1995,6,74,"C",102,NA,0.04773688134,NA
1995,6,75,"C",135,1000,0.05048032304,19.8096989040187
1995,6,76,"C",152.5,2000,0.04713314476,42.4329844779914
1995,6,77,"C",154,130,0.04806696512,2.70456018339108
1995,6,78,"C",140,280,0.04904813764,5.70867750484481
1995,6,79,"C",104,2460,0.05300222281,46.4131477809619
1995,6,8,"C",123.5,840,0.0513735255,16.3508342443814
1995,6,80,"D",466.5,NA,0.09196153846,NA
1995,6,81,"E",592.5,NA,0.10597770675,NA
1995,6,82,"C",159.5,4100,0.0480159593,85.3882763100393
1995,6,83,"C",138,1120,0.0530290234,21.1205096415183
1995,6,84,"C",114.5,1980,0.0464855915,42.5938432987348
1995,6,85,"B",90,5,0.04925547177,0.101511564508968
1995,6,86,"B",76.5,10,0.0482426568,0.207285432920021
1995,6,9,"D",226,NA,0.10901307698,NA
1996,6,1,"A",38,NA,0.04593514779,NA
1996,6,10,"D",221.5,900,0.0822840415,10.9377223528818
1996,6,103,"B",85.9,NA,0.0395837184,NA
1996,6,104,"C",116.5,6600,0.0424681115,155.410725056611
1996,6,105,"C",171,5400,0.04418620448,122.210089405715
1996,6,107,"C",155,730,0.0467729540132,15.6073101518023
1996,6,11,"C",116.5,2140,0.0425350695,50.3114259634629
1996,6,12,"B",99.5,720,0.04130884617,17.4296807283591
1996,6,13,"A",20,NA,0.04399597404,NA
1996,6,132,"D",342.5,180,0.0904467013,1.99012233075216
1996,6,134,"E",544.5,NA,0.08778102942,NA
1996,6,14,"B",70,NA,0.0408858144,NA
1996,6,15,"A",19.5,NA,0.04450791591,NA
