"year","month","day","vessel","haul_number","area","strata","meandepth","hauling_time","nbtot","ptot","TA_lat_fin","TA_lon_fin","sqkm","W_sqkm","doy"
1994,5,21,"FUL",1,17,"B",79,700,22,993,42.7466666666667,14.2331666666667,0.04569269034,21.7321412377138,141
1994,5,22,"FUL",10,17,"D",209.5,614,97,11700,43.2495,15.2068333333333,0.08717591088,134.211388007237,142
1994,5,22,"FUL",11,17,"C",132.5,733,86,3200,43.3205,15.1146666666667,0.04781181211,66.929067499843,142
1994,5,22,"FUL",12,17,"C",124,841,41,2864,43.389,15.056,0.0458355684,62.4842256783271,142
1994,5,22,"FUL",13,17,"C",102,1110,29,1315,43.3458333333333,14.7,0.04749028004,27.6898767261933,142
1994,5,22,"FUL",14,17,"B",100,1243,42,1954,43.3438333333333,14.5033333333333,0.04531666112,43.1187989517971,142
1994,5,23,"FUL",15,17,"A",18,615,33,689,42.8523333333333,14.0246666666667,0.04420888604,15.5851020398161,143
1994,5,23,"FUL",16,17,"B",60,821,87,3000,43.096,14.0821666666667,0.04546698793,65.9819384697032,143
1994,5,23,"FUL",17,17,"A",21,941,61,1800,43.1453333333333,13.953,0.04309916502,41.7641501677519,143
1994,5,23,"FUL",18,17,"A",40,1050,56,2820,43.2028333333333,14.0105,0.04342772572,64.9354750507069,143
1994,5,23,"FUL",19,17,"B",92,1403,49,2529,43.5416666666667,14.2356666666667,0.04513552621,56.0312510423261,143
1994,5,21,"FUL",2,17,"B",86,805,29,1282,42.6986666666667,14.2955,0.04943336362,25.933901845217,141
1994,5,23,"FUL",20,17,"B",92,1530,35,1763,43.5505,14.4048333333333,0.04177629697,42.2009638926597,143
1994,5,23,"FUL",21,17,"B",78,1848,41,4447,43.9811666666667,14.3615,0.04796781753,92.7079910862895,143
1994,5,24,"FUL",22,17,"B",68,440,21,1281,44.2075,13.9316666666667,0.0496413764,25.8050862586477,144
1994,5,24,"FUL",23,17,"B",64,542,26,2090,44.2733333333333,13.8873333333333,0.04898056587,42.6699847761477,144
1994,5,24,"FUL",24,17,"B",68,730,24,2154,44.2381666666667,13.661,0.04946408577,43.5467464215502,144
1994,5,24,"FUL",25,17,"B",68,910,41,3674,44.1116666666667,13.534,0.04828752068,76.0859109820007,144
1994,5,24,"FUL",26,17,"B",66,1117,38,4000,44.1461666666667,13.328,0.04794905675,83.4218704416954,144
