"","year","Indicator","var_tot","stdev_tot","month"
"1",1994,280,1104.93499867809,33.240562550566,6
"2",1995,260,862.576824612801,29.3696582311201,6
"3",1996,265,1183.50904989825,34.4021663547261,6
"4",1997,290,1088.51839168966,32.9927020974285,7
"5",1998,265,1517.80616122197,38.9590318311681,6
"6",1999,280,1215.02391014201,34.8571930904083,8
"7",2000,245,1192.41210928305,34.5313206999537,6
"8",2001,255,1000.4695397197,31.6301998052446,6
"9",2002,235,1046.98035579725,32.35707582272,8
"10",2003,272.249999999985,1738.37001632644,41.6937647175982,7
"11",2004,245,1257.51829299076,35.4615043813818,7
"12",2005,205,897.59190442899,29.9598381909681,7
"13",2006,260,1215.050358362,34.8575724680018,7
"14",2007,260,1264.7112283111,35.5627786922099,8
"15",2008,240,1694.46311150016,41.1638568589018,6
"16",2009,300,1351.83750835332,36.7673429602048,6
"17",2010,280,1455.75658251285,38.1543782875943,7
"18",2011,260,1183.96594666984,34.4088062372097,7
"19",2012,235,1577.21388228547,39.7141521662677,7
"20",2013,310,1575.28554247212,39.6898669999299,7
"21",2014,265,1106.53239707447,33.2645817210207,9
"22",2015,285,2298.57477138794,47.943453895062,7
"23",2016,260,1143.75732287939,33.8194814105626,8
"24",2017,255,649.064962119753,25.4767533669373,11
