"year","month","day","vessel","haul_number","area","strata","meandepth","hauling_time","ptot","TA_lat_fin","TA_lon_fin","sqkm","W_sqkm","doy"
1994,5,21,"FUL",1,17,"B",79,700,200,42.7466666666667,14.2331666666667,0.04569269034,4.37706772159391,141
1994,5,22,"FUL",10,17,"D",209.5,614,NA,43.2495,15.2068333333333,0.08717591088,NA,142
1994,5,22,"FUL",11,17,"C",132.5,733,2150,43.3205,15.1146666666667,0.04781181211,44.967967226457,142
1994,5,22,"FUL",12,17,"C",124,841,2265,43.389,15.056,0.0458355684,49.4157720535653,142
1994,5,22,"FUL",13,17,"C",102,1110,1100,43.3458333333333,14.7,0.04749028004,23.1626345238119,142
1994,5,22,"FUL",14,17,"B",100,1243,90,43.3438333333333,14.5033333333333,0.04531666112,1.98602451671532,142
1994,5,23,"FUL",15,17,"A",18,615,NA,42.8523333333333,14.0246666666667,0.04420888604,NA,143
1994,5,23,"FUL",16,17,"B",60,821,92,43.096,14.0821666666667,0.04546698793,2.0234461130709,143
1994,5,23,"FUL",17,17,"A",21,941,22,43.1453333333333,13.953,0.04309916502,0.510450724272523,143
1994,5,23,"FUL",18,17,"A",40,1050,NA,43.2028333333333,14.0105,0.04342772572,NA,143
1994,5,23,"FUL",19,17,"B",92,1403,NA,43.5416666666667,14.2356666666667,0.04513552621,NA,143
1994,5,21,"FUL",2,17,"B",86,805,NA,42.6986666666667,14.2955,0.04943336362,NA,141
1994,5,23,"FUL",20,17,"B",92,1530,2757,43.5505,14.4048333333333,0.04177629697,65.9943604379256,143
1994,5,23,"FUL",21,17,"B",78,1848,3200,43.9811666666667,14.3615,0.04796781753,66.7113945302735,143
1994,5,24,"FUL",22,17,"B",68,440,1366,44.2075,13.9316666666667,0.0496413764,27.5173675482536,144
1994,5,24,"FUL",23,17,"B",64,542,1672,44.2733333333333,13.8873333333333,0.04898056587,34.1359878209182,144
1994,5,24,"FUL",24,17,"B",68,730,215,44.2381666666667,13.661,0.04946408577,4.34658796686782,144
1994,5,24,"FUL",25,17,"B",68,910,19,44.1116666666667,13.534,0.04828752068,0.393476404098534,144
1994,5,24,"FUL",26,17,"B",66,1117,110,44.1461666666667,13.328,0.04794905675,2.29410143714662,144
1994,5,24,"FUL",27,17,"B",61,1242,81,44.039,13.3068333333333,0.04333950037,1.8689647852071,144
1994,5,24,"FUL",28,17,"B",58.5,1339,NA,44.0293333333333,13.2601666666667,0.04296880178,NA,144
