"","year","haul_number","stratum","area","Indicator","month","day","vessel","strata","meandepth","hauling_time","ptot","Lat","Lon","sqkm","W_sqkm","doy","hour"
"1",1994,1,"B",17,165,5,21,"FUL","B",79,700,200,42.7466666666667,14.2331666666667,0.04569269034,4.37706772159391,141,7
"2",1994,3,"B",17,180,5,21,"FUL","B",69.5,925,300,42.6975,14.2283333333333,0.04279151115,7.01073628711988,141,9
"3",1994,5,"B",17,120,5,21,"FUL","B",100.5,1322,19,42.9491666666667,14.3041666666667,0.04828068692,0.393532097658067,141,13
"4",1994,6,"B",17,170,5,21,"FUL","B",97,1520,1100,43.1506666666667,14.4355,0.04163540694364,26.4198210309082,141,15
"5",1994,7,"C",17,180,5,21,"FUL","C",121.5,1712,1160,43.1521666666667,14.6683333333333,0.04906172817,23.6436840541078,141,17
"6",1994,8,"C",17,190,5,21,"FUL","C",130,1820,1500,43.1588333333333,14.7693333333333,0.04464567081,33.5978824550223,141,18
"7",1994,9,"D",17,160,5,22,"FUL","D",238,441,50,43.3013333333333,15.2623333333333,0.0923028936,0.541694827213954,142,4
"8",1994,11,"C",17,175,5,22,"FUL","C",132.5,733,2150,43.3205,15.1146666666667,0.04781181211,44.967967226457,142,7
"9",1994,12,"C",17,165,5,22,"FUL","C",124,841,2265,43.389,15.056,0.0458355684,49.4157720535653,142,8
"10",1994,13,"C",17,185,5,22,"FUL","C",102,1110,1100,43.3458333333333,14.7,0.04749028004,23.1626345238119,142,11
"11",1994,14,"B",17,190,5,22,"FUL","B",100,1243,90,43.3438333333333,14.5033333333333,0.04531666112,1.98602451671532,142,12
"12",1994,16,"B",17,155,5,23,"FUL","B",60,821,92,43.096,14.0821666666667,0.04546698793,2.0234461130709,143,8
"13",1994,17,"A",17,105,5,23,"FUL","A",21,941,22,43.1453333333333,13.953,0.04309916502,0.510450724272523,143,9
"14",1994,20,"B",17,210,5,23,"FUL","B",92,1530,2757,43.5505,14.4048333333333,0.04177629697,65.9943604379256,143,15
"15",1994,21,"B",17,180,5,23,"FUL","B",78,1848,3200,43.9811666666667,14.3615,0.04796781753,66.7113945302735,143,18
"16",1994,22,"B",17,180.749999999999,5,24,"FUL","B",68,440,1366,44.2075,13.9316666666667,0.0496413764,27.5173675482536,144,4
"17",1994,23,"B",17,175,5,24,"FUL","B",64,542,1672,44.2733333333333,13.8873333333333,0.04898056587,34.1359878209182,144,5
"18",1994,24,"B",17,170,5,24,"FUL","B",68,730,215,44.2381666666667,13.661,0.04946408577,4.34658796686782,144,7
"19",1994,25,"B",17,120,5,24,"FUL","B",68,910,19,44.1116666666667,13.534,0.04828752068,0.393476404098534,144,9
"20",1994,26,"B",17,150,5,24,"FUL","B",66,1117,110,44.1461666666667,13.328,0.04794905675,2.29410143714662,144,11
"21",1994,27,"B",17,175,5,24,"FUL","B",61,1242,81,44.039,13.3068333333333,0.04333950037,1.8689647852071,144,12
"22",1994,34,"A",17,149.5,5,25,"FUL","A",50,1309,454,44.438,13.1801666666667,0.05337372268,8.50605835987755,145,13
"23",1994,35,"A",17,130,5,25,"FUL","A",49,1410,66,44.3641666666667,13.2076666666667,0.04797848848,1.37561649170153,145,14
"24",1994,36,"A",17,155,5,25,"FUL","A",49,1610,414,44.521,13.2401666666667,0.0527751184,7.84460580196443,145,16
"25",1994,37,"A",17,195,5,25,"FUL","A",44,1738,571,44.6293333333333,13.3545,0.04924519564,11.5950397308646,145,17
"26",1994,41,"A",17,135,5,26,"FUL","A",33,1005,21,45.0831666666667,12.7435,0.044884242,0.467870216010332,146,10
"27",1994,45,"A",17,110,5,26,"FUL","A",35,1522,46,45.1003333333333,12.68,0.04744678424,0.96950722239295,146,15
"28",1994,48,"A",17,195,5,27,"FUL","A",40,515,450,44.7548333333333,13.1698333333333,0.0432400654,10.4070147868,147,5
"29",1994,52,"A",17,185,5,27,"FUL","A",46,1305,116,44.409,12.8693333333333,0.04403762176,2.63411136578144,147,13
"30",1994,54,"A",17,145,5,27,"FUL","A",47,1735,135,43.9068333333333,13.3006666666667,0.03892959788,3.4677984708739,147,17
"31",1994,58,"B",17,165,5,28,"FUL","B",57,820,100,43.6303333333333,13.8623333333333,0.041727315,2.39651173338136,148,8
"32",1994,59,"A",17,150,5,28,"FUL","A",18,1022,44,43.4393333333333,13.8051666666667,0.0415395571,1.05923132242544,148,10
"33",1994,60,"A",17,135,5,28,"FUL","A",13,1115,2472,43.4131666666667,13.7598333333333,0.04837971048,51.0957997779238,148,11
"34",1994,61,"A",17,110,5,28,"FUL","A",46,1210,52,43.4166666666667,13.9583333333333,0.05663787556,0.918113532434902,148,12
"35",1994,62,"A",17,105,5,28,"FUL","A",18,1324,11,43.2886666666667,13.8965,0.05827534978,0.18875905578477,148,13
"36",1994,70,"A",17,155,6,2,"FUL","A",22,555,199,42.5128333333333,14.294,0.04053480969,4.90936065870055,153,5
"37",1994,71,"B",17,200,6,2,"FUL","B",88,740,101,42.453,14.5515,0.04879105264,2.07005167003095,153,7
"38",1994,72,"A",17,165,6,2,"FUL","A",49,950,81,42.173,14.8185,0.04789500956,1.69119916133492,153,9
"39",1994,82,"C",17,210,6,3,"FUL","C",185,1020,446,42.1975,16.6521666666667,0.04297792716,10.3774199797867,154,10
"40",1994,83,"C",17,155,6,3,"FUL","C",156.5,1125,42,42.161,16.555,0.05674193226,0.740193333698079,154,11
"41",1994,84,"C",18,250,6,27,"BIM","C",132,1600,534,40.6015,18.4995,0.0448395,11.9091426086375,178,16
"42",1994,85,"B",17,150,6,3,"FUL","B",98,1545,38,42.1018333333333,15.8426666666667,0.05839130826,0.650781788118134,154,15
"43",1994,88,"B",18,150,6,28,"BIM","B",78,620,38,40.5876666666667,18.2321666666667,0.0443025,0.857739405225439,179,6
"44",1994,93,"C",18,220,6,26,"BIM","C",135,1350,259,40.7333333333333,18.3621666666667,0.0448395,5.77615718284102,177,13
"45",1994,95,"C",18,230,6,26,"BIM","C",132,1525,434,40.7305,18.285,0.0448395,9.67896609016604,177,15
"46",1994,109,"A",18,50,7,13,"BIM","A",36.5,1250,1,41.254,16.61,0.040812,0.0245025972753112,194,12
"47",1994,110,"C",18,270,7,2,"BIM","C",149,1330,408,41.4675,17.0116666666667,0.0453765,8.99143829956035,183,13
"48",1994,115,"A",18,170,7,9,"BIM","A",28,1100,240,41.3343333333333,16.4328333333333,0.0394695,6.08064454832212,190,11
"49",1994,120,"A",18,60,7,8,"BIM","A",15,1935,10,41.6921666666667,16.2293333333333,0.0394695,0.253360189513422,189,19
"50",1994,121,"A",18,60,7,8,"BIM","A",15.5,2020,26,41.6628333333333,16.2023333333333,0.0394695,0.658736492734897,189,20
"51",1994,125,"A",18,50,7,9,"BIM","A",45,900,1,41.5398333333333,16.3946666666667,0.0416175,0.0240283534570794,190,9
"52",1994,133,"C",18,210,7,7,"BIM","C",149,1145,814,41.9151666666667,16.6788333333333,0.0459135,17.7289903840918,188,11
"53",1994,134,"C",18,230,7,7,"BIM","C",149,1250,204,41.875,16.7083333333333,0.046182,4.41730544367936,188,12
"54",1994,137,"C",18,210,7,6,"BIM","C",165,1035,353,41.5585,16.9596666666667,0.0448395,7.87252311020417,187,10
"55",1995,1,"B",17,130,6,12,"EGU","B",81,1710,20,42.763,14.2495,0.0494308194,0.40460587630882,163,17
"56",1995,3,"A",17,180,6,12,"EGU","A",49.5,1550,70,42.6941666666667,14.2185,0.04948961004,1.41443830216933,163,15
"57",1995,4,"B",17,165,6,12,"EGU","B",95,1808,50,42.8011666666667,14.3123333333333,0.04899216153,1.02057142282614,163,18
"58",1995,5,"B",17,145,6,13,"EGU","B",94.5,542,30,42.9655,14.3078333333333,0.04604637822,0.651517039117957,164,5
"59",1995,6,"B",17,155,6,13,"EGU","B",93,738,1660,43.151,14.4508333333333,0.04691859339,35.3804298053361,164,7
"60",1995,7,"C",17,190,6,13,"EGU","C",115.5,921,800,43.1518333333333,14.6855,0.04487997682,17.8253211495308,164,9
"61",1995,8,"C",17,175,6,13,"EGU","C",123.5,1053,2450,43.1335,14.7655,0.0513735255,47.689933212779,164,10
"62",1995,10,"D",17,120,6,14,"EGU","D",223.5,902,10,43.23,15.2046666666667,0.11368924114,0.087959070706486,165,9
"63",1995,11,"C",17,170,6,14,"EGU","C",133.5,515,1600,43.3241666666667,15.1105,0.0460168855,34.7698455168158,165,5
"64",1995,12,"C",17,185,6,14,"EGU","C",121.5,406,3100,43.3833333333333,15.0728333333333,0.048042365,64.5263820796499,165,4
"65",1995,13,"B",17,170,6,20,"EGU","B",99.5,517,650,43.3466666666667,14.6671666666667,0.04775349125,13.6115702325744,171,5
"66",1995,14,"B",17,195,6,20,"EGU","B",94.5,643,180,43.354,14.5001666666667,0.04797183435,3.75220173334898,171,6
"67",1995,15,"A",17,180,6,19,"EGU","A",20,836,370,42.8608333333333,14.0331666666667,0.04570178973,8.09596302871091,170,8
"68",1995,17,"A",17,185,6,19,"EGU","A",23.5,1150,450,43.1526666666667,13.955,0.0490948798,9.16592528249758,170,11
"69",1995,18,"A",17,185,6,19,"AND","A",34.5,1250,190,43.2105,14.0033333333333,0.04574898711,4.15309741269592,170,12
"70",1995,20,"B",17,195,6,20,"EGU","B",86.5,840,1550,43.551,14.3895,0.0500289456,30.9820641113012,171,8
"71",1995,21,"B",17,180,6,21,"EGU","B",75,428,3650,43.992,14.3383333333333,0.051595554,70.7425294822883,172,4
"72",1995,22,"B",17,170,6,21,"EGU","B",66.5,723,2400,44.2126666666667,13.926,0.0493458189,48.6363394812362,172,7
"73",1995,23,"B",17,160,6,21,"EGU","B",66,832,1550,44.2706666666667,13.8731666666667,0.0478595943,32.3864007347008,172,8
"74",1995,24,"B",17,175.5,6,21,"EGU","B",65.5,1011,670,44.2413333333333,13.6456666666667,0.0510375852,13.1275803385776,172,10
"75",1995,25,"B",17,170,6,22,"EGU","B",66,1103,230,44.1145,13.52,0.05046944328,4.55721294019394,173,11
"76",1995,26,"B",17,165,6,26,"EGU","B",60.5,1236,600,44.1405,13.3143333333333,0.05344106868,11.2273203889829,177,12
"77",1995,27,"B",17,145,6,26,"EGU","B",60.5,924,520,44.0456666666667,13.3255,0.0503102838,10.3358590078158,177,9
"78",1995,28,"B",17,155,6,26,"EGU","B",57,832,150,44.0323333333333,13.2735,0.0495197388,3.02909513731118,177,8
"79",1995,30,"A",17,130,6,26,"EGU","A",46,1418,20,44.0635,13.092,0.0463101261,0.43187098987407,177,14
"80",1995,34,"A",17,170,6,21,"EGU","A",49,1358,9300,44.4488333333333,13.1851666666667,0.0444918726,209.02694034955,172,13
"81",1995,35,"B",17,155,6,21,"EGU","B",53.5,1231,550,44.3458333333333,13.2851666666667,0.0480018924,11.457881606351,172,12
"82",1995,36,"A",17,155,6,21,"EGU","A",48.5,1514,2100,44.5331666666667,13.2516666666667,0.0475591872,44.1555065095814,172,15
"83",1995,37,"A",17,155.5,6,21,"EGU","A",45.5,1642,1420,44.6348333333333,13.3411666666667,0.0436064622,32.563980849609,172,16
"84",1995,41,"A",17,130,6,27,"EGU","A",31.5,725,40,45.0843333333333,12.731,0.04688146458,0.853215665473564,178,7
"85",1995,45,"A",17,135,6,27,"EGU","A",30.5,825,70,45.1008333333333,12.6803333333333,0.06806566570077,1.0284186495396,178,8
"86",1995,49,"A",17,165,6,21,"EGU","A",41.5,1852,660,44.7341666666667,13.028,0.0439384911,15.020998297322,172,18
"87",1995,56,"A",17,185,6,20,"EGU","A",26.5,1435,80,43.6533333333333,13.6556666666667,0.0465173228,1.7197894286384,171,14
"88",1995,58,"B",17,200,6,20,"EGU","B",53,1217,110,43.6273333333333,13.8456666666667,0.0539784126,2.03785170221919,171,12
"89",1995,59,"A",17,130,6,19,"EGU","A",16,1702,40,43.4351666666667,13.7958333333333,0.05077485061,0.787791584208464,170,17
"90",1995,60,"A",17,140,6,19,"EGU","A",15,1750,1880,43.4108333333333,13.7643333333333,0.05047990521,37.2425421992982,170,17
"91",1995,61,"A",17,145,6,19,"EGU","A",40,1539,90,43.4153333333333,13.9518333333333,0.04784329476,1.88114134805042,170,15
"92",1995,63,"C",17,135,6,30,"EGU","C",104.5,1658,20,42.8056666666667,14.403,0.05258697506,0.380322313218828,181,16
"93",1995,68,"C",17,160,6,6,"EGU","C",164,1436,60,42.5766666666667,15.185,0.0486994605,1.23204650285602,157,14
"94",1995,69,"C",17,135,6,6,"EGU","C",169.5,1212,25,42.5101666666667,14.9941666666667,0.04810139695,0.519735425272301,157,12
"95",1995,70,"A",17,215,6,12,"EGU","A",34.5,1202,560,42.5215,14.295,0.04252220199,13.1695907971016,163,12
"96",1995,72,"A",17,190,6,12,"EGU","A",25.5,733,460,42.1818333333333,14.8075,0.0462785043,9.93981994357583,163,7
"97",1995,80,"A",18,120,6,30,"BIM","A",37.5,815,20,41.1151666666667,17.0003333333333,0.0433368,0.461501541415148,181,8
"98",1995,81,"C",18,235,6,22,"BIM","C",187.5,1405,140,40.4101666666667,18.594,0.048615,2.87976961843053,173,14
"99",1995,82,"C",17,210,6,15,"EGU","C",159.5,1050,620,42.1795,16.6015,0.0480159593,12.9123734907864,166,10
"100",1995,83,"C",17,205,6,15,"EGU","C",138,1208,360,42.1473333333333,16.493,0.0530290234,6.7887352419166,166,12
"101",1995,84,"C",17,120,6,15,"EGU","C",114.5,1436,15,42.1498333333333,16.0576666666667,0.0464855915,0.322680631051021,166,14
"102",1995,84,"C",18,225,6,27,"BIM","C",122,1505,680,40.6111666666667,18.4901666666667,0.0477816,14.2314196259648,178,15
"103",1995,95,"C",18,245,6,26,"BIM","C",116,1640,153,40.7255,18.2833333333333,0.0512599,2.98478927972938,177,16
"104",1995,121,"A",18,145,7,10,"BIM","A",15,1040,68,41.6953333333333,16.2431666666667,0.0405588,1.67657820251092,191,10
"105",1995,123,"A",18,55,7,9,"BIM","A",38,1110,1,41.5895,16.3611666666667,0.0433368,0.0230750770707574,190,11
"106",1995,133,"C",18,125,7,9,"BIM","C",137.5,1525,20,41.895,16.6943333333333,0.048615,0.411395659775789,190,15
"107",1995,134,"C",18,120,7,9,"BIM","C",136.5,1425,19,41.863,16.6945,0.0480594,0.395344095015751,190,14
"108",1995,137,"C",18,210,7,5,"BIM","C",152.5,1140,474,41.5655,16.9473333333333,0.048615,9.75007713668621,186,11
"109",1995,139,"D",18,205,7,5,"BIM","D",223.5,1910,140,41.9468333333333,16.8,0.0988968,1.41561708771163,186,19
"110",1996,1,"A",18,150,7,18,"PEC","A",39,1715,1650,41.6455,19.3785,0.0448096,36.8224666142969,200,17
"111",1996,2,"A",18,175,7,22,"PEC","A",39,925,3200,40.7935,19.2961666666667,0.047173,67.8354143259916,204,9
"112",1996,3,"C",17,145,6,3,"EGU","C",143.5,1043,40,42.5161666666667,15.376,0.049379677828,0.810049837492431,155,10
"113",1996,4,"B",18,210,7,19,"PEC","B",79,610,1400,41.6603333333333,19.2345,0.0471247,29.7084119368399,201,6
"114",1996,5,"B",18,135,7,18,"PEC","B",79,1545,20,41.5485,19.2738333333333,0.0439714,0.454841101261274,200,15
"115",1996,6,"B",18,120,7,19,"PEC","B",89,800,70,41.4923333333333,19.2685,0.0468027,1.49564020879137,201,8
"116",1996,6,"C",17,175,6,3,"EGU","C",134.5,1544,130,42.5461666666667,15.8053333333333,0.04674347462,2.78113685507618,155,15
