"Length","Year","Frequency"
5,1994,0
40,1994,0.70162783748036
50,1994,2.38553464743322
55,1994,0
60,1994,0.982278972472503
90,1994,0.863699557455118
95,1994,1.39930448508958
100,1994,3.22353686253851
105,1994,5.23158711244089
110,1994,7.60731703749148
115,1994,6.71991034080952
120,1994,13.1730719634711
125,1994,9.38419378059453
130,1994,11.4376971108443
135,1994,9.40002775645392
140,1994,7.29113441003391
145,1994,8.28531088236114
150,1994,8.77152604228542
155,1994,5.90368349455775
160,1994,3.89066743795832
165,1994,3.95093518898485
170,1994,3.90944780101694
175,1994,3.63274785589594
180,1994,3.47067613592118
185,1994,1.709648082544
190,1994,2.22549706082276
195,1994,0.766866294916419
200,1994,0.895338292799071
205,1994,0.136374377624932
210,1994,1.71358455854866
215,1994,0.136374377624932
220,1994,0.136374377624932
230,1994,0.409123132874796
240,1994,0.136374377624932
250,1994,0.136374377624932
255,1994,0
270,1994,0.136374377624932
305,1994,0
5,1995,0
45,1995,1.39953272942841
50,1995,0.25446049625971
55,1995,0.381690744389565
75,1995,0.127230248129855
80,1995,0.15932979613018
85,1995,0.387693744301328
90,1995,0.63731918452072
95,1995,3.90882026454185
100,1995,8.43892906436482
105,1995,14.6636328060854
110,1995,21.283475628317
115,1995,26.301656533595
120,1995,26.6756990765795
125,1995,22.4532551725041
130,1995,15.0120646092208
135,1995,15.3588630651091
140,1995,14.0921086994732
145,1995,11.0550702463543
150,1995,10.1076339021756
155,1995,6.19212162543967
160,1995,6.74963256701104
165,1995,4.4622270543526
170,1995,5.39764888866862
175,1995,3.36115249709463
180,1995,2.26840040600854
185,1995,3.0056853466991
190,1995,1.29655062385089
195,1995,1.40771197322002
200,1995,1.26944577575392
205,1995,0.346814632363096
210,1995,0.562345997611693
215,1995,0.127230248129855
220,1995,0.403762643062054
225,1995,0.1382661974661
235,1995,0.1382661974661
245,1995,0.1382661974661
255,1995,0
305,1995,0
5,1996,0
40,1996,0.275600580026445
45,1996,6.47661363062145
50,1996,20.9456440820098
55,1996,20.9456440820098
60,1996,9.09481914087268
65,1996,2.34260493022478
70,1996,1.65360348015867
75,1996,1.37800290013222
90,1996,0.328577360633142
95,1996,0.198519696947668
100,1996,4.75542715786513
105,1996,4.21586089259728
110,1996,12.1057192699936
115,1996,8.41489594259363
120,1996,19.6762271504612
125,1996,17.9105676548021
130,1996,20.6697602006119
135,1996,17.2469538196937
140,1996,14.5747192293041
