"year","month","haul_number","strata","meandepth","ptot","sqkm","W_sqkm"
1994,6,100,"A",41,NA,0.040812,NA
1994,6,101,"B",74,NA,0.0443025,NA
1994,6,102,"C",116,NA,0.0448395,NA
1994,6,103,"C",119,317,0.0448395,7.06965956355446
1994,6,104,"B",81.5,42,0.0443025,0.948027763670222
1994,6,105,"B",58,446,0.042423,10.5131650284044
1994,6,106,"C",114.5,NA,0.0443025,NA
1994,6,107,"C",137.5,243,0.0448395,5.41932893988559
1994,7,108,"C",104.5,NA,0.0896957,NA
1994,7,109,"A",36.5,NA,0.040812,NA
1994,7,110,"C",149,1068,0.0453765,23.5364120194374
1994,7,111,"C",116,NA,0.0448395,NA
1994,7,112,"B",61,121,0.042423,2.85222638662989
1994,7,113,"C",116,34,0.0463926,0.732875501696391
1994,7,114,"B",61,NA,0.042423,NA
1994,7,115,"A",28,NA,0.0394695,NA
1994,7,116,"E",594,NA,0.0934554,NA
1994,7,117,"A",45,150,0.0416175,3.6042530185619
1994,7,118,"A",36,104,0.0394695,2.63494597093959
1994,7,119,"A",20.5,NA,0.0394695,NA
1994,7,120,"A",15,NA,0.0394695,NA
1994,7,121,"A",15.5,NA,0.0394695,NA
1994,7,122,"A",37,NA,0.0394695,NA
1994,7,123,"A",32,NA,0.0340305,NA
1994,7,124,"A",41,NA,0.0358825,NA
1994,7,125,"A",45,NA,0.0416175,NA
1994,7,126,"B",78,508,0.0432285,11.7515065292573
1994,7,127,"B",78,NA,0.0432285,NA
1994,7,128,"B",83,192,0.0432285,4.44151427877442
1994,7,129,"B",58,NA,0.042423,NA
1994,7,130,"B",74,NA,0.0432285,NA
1994,7,131,"B",83,NA,0.0432285,NA
1994,7,132,"C",116,460,0.0448395,10.2588119849686
1994,7,133,"C",149,778,0.0459135,16.9449072712819
1994,7,134,"C",149,1780,0.046182,38.5431553419081
1994,7,135,"C",106,69,0.0448395,1.53882179774529
1994,7,136,"C",116,510,0.0443025,11.5117657017098
1994,7,137,"C",165,248,0.0448395,5.53083776580916
1994,7,138,"C",102,245,0.0443025,5.53016195474296
1994,7,139,"D",231,2940,0.0923812,31.824656964837
1994,7,140,"D",272,2722,0.0923812,29.4648694756076
1994,7,141,"D",239,NA,0.0923812,NA
1994,7,142,"D",231,20,0.0923812,0.216494265066918
1994,7,143,"E",602,NA,0.0934554,NA
1994,7,144,"E",602,NA,0.0934554,NA
1994,7,145,"E",578,NA,0.031146,NA
1994,7,146,"E",569,460,0.0934554,4.92213398048695
1994,6,75,"B",93,201,0.044571,4.50965874671872
1994,6,76,"B",86,NA,0.0443025,NA
1994,6,77,"D",344,NA,0.0934554,NA
1994,6,78,"E",557,NA,0.0934554,NA
1994,6,79,"C",197,NA,0.0464505,NA
1994,6,80,"A",44,NA,0.040812,NA
1994,6,81,"C",194,990,0.045645,21.6891225764049
1994,6,82,"D",327,3432,0.0929183,36.9356735971278
1994,6,83,"C",125,4896,0.0448395,109.189442344362
1994,6,84,"C",132,442,0.0448395,9.85738021164375
1994,6,85,"D",314,NA,0.0929183,NA
1994,6,86,"E",578,980,0.0934554,10.4862854366896
1994,6,87,"E",625.5,NA,0.0934554,NA
1994,6,88,"B",78,NA,0.0443025,NA
1994,6,89,"C",125,3078,0.0433031,71.0803614521824
1994,6,90,"C",107,7191,0.044571,161.338089789325
1994,6,91,"E",594,NA,0.0934554,NA
1994,6,92,"D",248,140,0.0929183,1.50669997191081
1994,6,93,"C",135,3302,0.0448395,73.6404286399269
1994,6,94,"D",397,121,0.0897178,1.34867328445414
1994,6,95,"C",132,7633,0.0448395,170.229373654925
1994,6,96,"D",363,NA,0.0902364,NA
1994,6,97,"C",116,351,0.0448395,7.82791957983474
1994,6,98,"E",560,NA,0.0902364,NA
1994,6,99,"A",45,NA,0.0416175,NA
1995,7,100,"A",45.5,NA,0.0433368,NA
1995,6,101,"B",64.5,NA,0.045837,NA
1995,6,102,"C",112.5,353,0.0512599,6.88647461270896
1995,6,103,"C",114.5,NA,0.0512599,NA
1995,6,104,"B",84,NA,0.0477816,NA
1995,6,105,"A",50,NA,0.0433368,NA
1995,6,106,"C",111.5,NA,0.0480594,NA
1995,6,107,"C",131,NA,0.048615,NA
1995,6,108,"B",99,NA,0.0477816,NA
1995,7,109,"A",39,NA,0.0462228,NA
1995,7,110,"C",132,NA,0.0320396,NA
1995,7,111,"C",113.5,NA,0.049364,NA
1995,7,112,"B",51.5,NA,0.0441702,NA
1995,7,113,"C",111.5,33,0.0477816,0.690642423024763
1995,7,114,"B",52,NA,0.0441702,NA
1995,7,115,"A",28,NA,0.0433368,NA
1995,7,116,"E",561,NA,0.1016748,NA
1995,7,117,"A",47,NA,0.0441702,NA
1995,7,118,"A",47,NA,0.0441702,NA
1995,7,119,"A",31,NA,0.0433368,NA
1995,7,120,"A",17.5,NA,0.0405588,NA
