"","year","haul_number","stratum","Val_haul","month"
"1",1994,75,"B",240,6
"2",1994,81,"C",340,6
"3",1994,82,"D",590,6
"4",1994,83,"C",530,6
"5",1994,84,"C",330,6
"6",1994,86,"E",430,6
"7",1994,89,"C",530,6
"8",1994,90,"C",580,6
"9",1994,92,"D",220,6
"10",1994,93,"C",450,6
"11",1994,94,"D",210,6
"12",1994,95,"C",600,6
"13",1994,97,"C",290,6
"14",1994,103,"C",260,6
"15",1994,104,"B",140,6
"16",1994,105,"B",310,6
"17",1994,107,"C",180,6
"18",1994,110,"C",430,7
"19",1994,112,"B",180,7
"20",1994,113,"C",130,7
"21",1994,117,"A",210,7
"22",1994,118,"A",180,7
"23",1994,126,"B",310,7
"24",1994,128,"B",160,7
"25",1994,132,"C",350,7
"26",1994,133,"C",310,7
"27",1994,134,"C",330,7
"28",1994,135,"C",170,7
"29",1994,136,"C",260,7
"30",1994,137,"C",260,7
"31",1994,138,"C",250,7
"32",1994,139,"D",490,7
"33",1994,140,"D",620,7
"34",1994,142,"D",110,7
"35",1994,146,"E",360,7
"36",1995,75,"B",90,6
"37",1995,77,"D",725,6
"38",1995,79,"C",350,6
"39",1995,81,"C",120,6
"40",1995,83,"C",400,6
"41",1995,84,"C",410,6
"42",1995,88,"B",290,6
"43",1995,89,"C",380,6
"44",1995,90,"C",485,6
"45",1995,93,"C",700,6
"46",1995,95,"C",620,6
"47",1995,97,"C",270,6
"48",1995,102,"C",265,6
"49",1995,113,"C",105,7
"50",1995,124,"A",135,7
"51",1995,127,"B",135,7
"52",1995,128,"B",125,7
"53",1995,130,"B",180,7
"54",1995,132,"C",240,7
"55",1995,133,"C",230,7
"56",1995,134,"C",285,7
"57",1995,135,"C",145,7
"58",1995,136,"C",250,7
"59",1995,137,"C",115,7
"60",1995,139,"D",330,7
"61",1995,146,"E",480,7
"62",1996,2,"A",440,7
"63",1996,4,"B",230,7
"64",1996,5,"B",235,7
"65",1996,6,"B",395,7
"66",1996,8,"B",390,7
"67",1996,9,"B",420,7
"68",1996,11,"B",450,7
"69",1996,14,"C",225,7
"70",1996,17,"C",345,7
"71",1996,18,"C",80,7
"72",1996,19,"C",215,7
"73",1996,20,"C",375,7
"74",1996,21,"C",320,7
"75",1996,22,"C",290,7
"76",1996,23,"C",395,7
"77",1996,24,"D",210,7
"78",1996,25,"D",395,7
"79",1996,26,"D",410,7
"80",1996,27,"D",505,7
"81",1996,29,"D",110,7
"82",1996,30,"D",95,7
"83",1996,31,"D",195,7
"84",1996,39,"E",110,7
"85",1996,75,"B",130,6
"86",1996,76,"B",250,6
"87",1996,77,"D",440,6
"88",1996,79,"D",240,6
"89",1996,81,"C",220,6
"90",1996,82,"D",260,6
"91",1996,83,"C",240,6
"92",1996,84,"C",125,6
"93",1996,88,"B",120,6
