"","Year","Val","var_tot","stdev_tot"
"1",1994,530,7294.51337036203,85.4079233465024
"2",1995,620,13817.491540167,117.547826607585
"3",1996,440,6464.80532437599,80.4040131111376
"4",1997,460,7276.01017137807,85.2995320701003
"5",1998,425,4529.7563996454,67.3034649898903
"6",1999,485,5549.51480724249,74.4950656570118
"7",2000,525,8143.15997227732,90.2394590646316
"8",2001,340,3414.5075467649,58.4337877153697
"9",2002,320,9354.36240018151,96.7179528328712
"10",2003,295,1065.30979019641,32.6390837830417
"11",2004,345,3043.7661933628,55.170337984852
"12",2005,360,1145.11920050459,33.8396099342854
"13",2006,405,4651.34131674155,68.2007427873154
"14",2007,500,1051.57352951886,32.4279744899193
"15",2008,580,6415.49368166008,80.0967769742334
"16",2009,385,4334.75295590012,65.8388407849054
"17",2010,485,6475.02671027238,80.4675506665412
"18",2011,520,2107.81149423022,45.910908227024
"19",2012,455,3305.98574651915,57.4977020977287
"20",2013,572.25,8106.78384630986,90.0376801473131
"21",2014,540,8337.93700328486,91.312304774794
"22",2015,510,1082.63608377329,32.903435744209
"23",2016,470,2622.35391918601,51.2089242143008
"24",2017,330,2316.3288375458,48.1282540463063
