"Length","Year","Frequency"
25,1994,0
75,1994,0
110,1994,1.13508587540405
120,1994,1.00927746829139
125,1994,0
130,1994,1.68212911381898
135,1994,0.336425822763797
140,1994,2.01660785251344
160,1994,2.01076660030542
170,1994,0.336425822763797
175,1994,0
180,1994,0.976050517673369
210,1994,0.767380186091575
220,1994,1.47151169816785
225,1994,0
230,1994,0.672851645527593
240,1994,1.34375620698585
250,1994,1.34570329105519
260,1994,2.01855493658278
270,1994,0.672851645527593
275,1994,0
290,1994,1.00927746829139
300,1994,0.672851645527593
310,1994,1.80404335279297
320,1994,0.125808407112663
325,1994,0
330,1994,1.34570329105519
340,1994,0.336425822763797
350,1994,1.00927746829139
360,1994,0.489974916561931
370,1994,0.672851645527593
375,1994,0
400,1994,1.00927746829139
410,1994,0.672851645527593
420,1994,0.125808407112663
425,1994,0
430,1994,0.489974916561931
450,1994,0.336425822763797
475,1994,0
480,1994,0.336425822763797
490,1994,0.125808407112663
520,1994,0.336425822763797
525,1994,0
530,1994,0.672851645527593
575,1994,0
580,1994,0.336425822763797
590,1994,0.125808407112663
600,1994,0.336425822763797
620,1994,0.125808407112663
625,1994,0
675,1994,0
725,1994,0
775,1994,0
825,1994,0
875,1994,0
925,1994,0
975,1994,0
1025,1994,0
1075,1994,0
1125,1994,0
1175,1994,0
25,1995,0
70,1995,0.117272150026806
75,1995,0
80,1995,0.343571705712658
90,1995,1.00170071313491
95,1995,0.343571705712658
100,1995,0.343571705712658
105,1995,0.343571705712658
115,1995,0.687143411425316
120,1995,0.343571705712658
125,1995,0.658129007422249
130,1995,1.03071511713797
135,1995,1.60392616899653
145,1995,0.343571705712658
150,1995,0.343571705712658
175,1995,0
180,1995,0.314557301709591
210,1995,0.343571705712658
220,1995,0.343571705712658
225,1995,0.343571705712658
230,1995,0.687143411425316
240,1995,0.343571705712658
250,1995,0.343571705712658
265,1995,0.343571705712658
270,1995,0.343571705712658
275,1995,0
285,1995,0.343571705712658
290,1995,0.314557301709591
325,1995,0
330,1995,0.117272150026806
350,1995,0.343571705712658
370,1995,0.343571705712658
375,1995,0
380,1995,0.687143411425316
400,1995,0.343571705712658
410,1995,0.343571705712658
425,1995,0
475,1995,0
480,1995,0.129090893000154
485,1995,0.343571705712658
525,1995,0
575,1995,0
620,1995,0.343571705712658
625,1995,0
675,1995,0
700,1995,0.343571705712658
725,1995,0.117272150026806
775,1995,0
825,1995,0
875,1995,0
925,1995,0
975,1995,0
1025,1995,0
1075,1995,0
1125,1995,0
1175,1995,0
25,1996,0
55,1996,0.0696485253033844
60,1996,0.139297050606769
65,1996,0.312023739072702
75,1996,0.0696485253033844
80,1996,0.312023739072702
90,1996,1.10879790568404
95,1996,0.660266365589624
100,1996,2.33104096606706
105,1996,1.11637564763542
110,1996,1.19238619297751
115,1996,1.46182902456729
120,1996,2.98572883248658
125,1996,1.5104141463292
130,1996,1.39975824121528
135,1996,1.26803893255989
145,1996,0.484750427538636
150,1996,0.484750427538636
155,1996,0.18030443041731
175,1996,0
180,1996,0.0696485253033844
195,1996,0.312023739072702
200,1996,0.249952955720695
210,1996,0.624047478145405
215,1996,0.624047478145405
220,1996,0.242375213769318
225,1996,0.907430071725265
230,1996,0.602984074603939
235,1996,0.783288505021249
240,1996,0.977078597028649
245,1996,0.242375213769318
250,1996,0.422679644186628
255,1996,0.242375213769318
260,1996,0.312023739072702
275,1996,0
285,1996,0.242375213769318
290,1996,0.242375213769318
300,1996,0.55439895284202
315,1996,0.242375213769318
320,1996,0.242375213769318
325,1996,0
330,1996,0.242375213769318
345,1996,0.242375213769318
360,1996,0.0696485253033844
375,1996,0.242375213769318
380,1996,0.242375213769318
390,1996,0.18030443041731
395,1996,0.492328169490013
410,1996,0.139297050606769
420,1996,0.18030443041731
