"year","month","haul_number","strata","meandepth","ptot","sqkm","W_sqkm"
1994,6,100,"A",41,NA,0.040812,NA
1994,6,101,"B",74,NA,0.0443025,NA
1994,6,102,"C",116,NA,0.0448395,NA
1994,6,103,"C",119,NA,0.0448395,NA
1994,6,104,"B",81.5,NA,0.0443025,NA
1994,6,105,"B",58,261,0.042423,6.15232303231737
1994,6,106,"C",114.5,NA,0.0443025,NA
1994,6,107,"C",137.5,NA,0.0448395,NA
1994,7,108,"C",104.5,NA,0.0896957,NA
1994,7,109,"A",36.5,NA,0.040812,NA
1994,7,110,"C",149,NA,0.0453765,NA
1994,7,111,"C",116,NA,0.0448395,NA
1994,7,112,"B",61,745,0.042423,17.561228578837
1994,7,113,"C",116,NA,0.0463926,NA
1994,7,114,"B",61,799,0.042423,18.8341229993164
1994,7,115,"A",28,428,0.0394695,10.8438161111745
1994,7,116,"E",594,NA,0.0934554,NA
1994,7,117,"A",45,597,0.0416175,14.3449270138764
1994,7,118,"A",36,1339,0.0394695,33.9249293758472
1994,7,119,"A",20.5,NA,0.0394695,NA
1994,7,120,"A",15,NA,0.0394695,NA
1994,7,121,"A",15.5,NA,0.0394695,NA
1994,7,122,"A",37,1299,0.0394695,32.9114886177935
1994,7,123,"A",32,NA,0.0340305,NA
1994,7,124,"A",41,1319,0.0358825,36.7588657423535
1994,7,125,"A",45,815,0.0416175,19.5831080675197
1994,7,126,"B",78,517,0.0432285,11.9597025110749
1994,7,127,"B",78,408,0.0432285,9.43821784239564
1994,7,128,"B",83,289,0.0432285,6.68540430503025
1994,7,129,"B",58,256,0.042423,6.03446243782854
1994,7,130,"B",74,352,0.0432285,8.1427761777531
1994,7,131,"B",83,169,0.0432285,3.90945788079623
1994,7,132,"C",116,NA,0.0448395,NA
1994,7,133,"C",149,NA,0.0459135,NA
1994,7,134,"C",149,NA,0.046182,NA
1994,7,135,"C",106,NA,0.0448395,NA
1994,7,136,"C",116,NA,0.0443025,NA
1994,7,137,"C",165,NA,0.0448395,NA
1994,7,138,"C",102,NA,0.0443025,NA
1994,7,139,"D",231,NA,0.0923812,NA
1994,7,140,"D",272,NA,0.0923812,NA
1994,7,141,"D",239,NA,0.0923812,NA
1994,7,142,"D",231,NA,0.0923812,NA
1994,7,143,"E",602,NA,0.0934554,NA
1994,7,144,"E",602,NA,0.0934554,NA
1994,7,145,"E",578,NA,0.031146,NA
1994,7,146,"E",569,NA,0.0934554,NA
1994,6,75,"B",93,677,0.044571,15.18924861457
1994,6,76,"B",86,NA,0.0443025,NA
1994,6,77,"D",344,NA,0.0934554,NA
1994,6,78,"E",557,NA,0.0934554,NA
1994,6,79,"C",197,NA,0.0464505,NA
1994,6,80,"A",44,190,0.040812,4.65549348230912
1994,6,81,"C",194,NA,0.045645,NA
1994,6,82,"D",327,NA,0.0929183,NA
1994,6,83,"C",125,NA,0.0448395,NA
1994,6,84,"C",132,NA,0.0448395,NA
1994,6,85,"D",314,NA,0.0929183,NA
1994,6,86,"E",578,NA,0.0934554,NA
1994,6,87,"E",625.5,NA,0.0934554,NA
1994,6,88,"B",78,499,0.0443025,11.2634727159867
1994,6,89,"C",125,NA,0.0433031,NA
1994,6,90,"C",107,NA,0.044571,NA
1994,6,91,"E",594,NA,0.0934554,NA
1994,6,92,"D",248,NA,0.0929183,NA
1994,6,93,"C",135,NA,0.0448395,NA
1994,6,94,"D",397,NA,0.0897178,NA
1994,6,95,"C",132,NA,0.0448395,NA
1994,6,96,"D",363,NA,0.0902364,NA
1994,6,97,"C",116,NA,0.0448395,NA
1994,6,98,"E",560,NA,0.0902364,NA
1994,6,99,"A",45,951,0.0416175,22.8509641376825
1995,7,100,"A",45.5,NA,0.0433368,NA
1995,6,101,"B",64.5,NA,0.045837,NA
1995,6,102,"C",112.5,NA,0.0512599,NA
1995,6,103,"C",114.5,NA,0.0512599,NA
1995,6,104,"B",84,NA,0.0477816,NA
1995,6,105,"A",50,165,0.0433368,3.80738771667497
1995,6,106,"C",111.5,NA,0.0480594,NA
1995,6,107,"C",131,NA,0.048615,NA
1995,6,108,"B",99,NA,0.0477816,NA
1995,7,109,"A",39,229,0.0462228,4.95426499476449
1995,7,110,"C",132,NA,0.0320396,NA
1995,7,111,"C",113.5,NA,0.049364,NA
1995,7,112,"B",51.5,NA,0.0441702,NA
1995,7,113,"C",111.5,NA,0.0477816,NA
1995,7,114,"B",52,235,0.0441702,5.32032909065388
1995,7,115,"A",28,195,0.0433368,4.4996400287977
1995,7,116,"E",561,NA,0.1016748,NA
1995,7,117,"A",47,425,0.0441702,9.62187175969319
1995,7,118,"A",47,324,0.0441702,7.33526223562492
1995,7,119,"A",31,NA,0.0433368,NA
1995,7,120,"A",17.5,NA,0.0405588,NA
1995,7,121,"A",15,NA,0.0405588,NA
1995,7,122,"A",43,284,0.0433368,6.55332188809511
