"","year","haul_number","stratum","Val_haul"
"1",1998,1,"A",110
"2",1998,2,"A",120
"3",1998,3,"A",125
"4",1998,4,"B",130
"5",1998,5,"B",120
"6",1998,6,"B",100
"7",1998,7,"B",120
"8",1998,8,"B",125
"9",1998,11,"B",100
"10",1998,15,"C",90
"11",1998,22,"C",90
"12",1998,99,"A",100
"13",1998,104,"B",90
"14",1998,114,"B",150
"15",1998,115,"A",110
"16",1998,118,"A",115
"17",1998,119,"A",110
"18",1998,120,"A",120
"19",1998,121,"A",95
"20",1998,122,"A",110
"21",1998,123,"A",115
"22",1998,124,"A",120
"23",1998,126,"B",115
"24",1999,1,"A",105
"25",1999,2,"A",100
"26",1999,3,"A",105
"27",1999,4,"B",100
"28",1999,8,"B",130
"29",1999,9,"B",165
"30",1999,11,"B",75
"31",1999,12,"B",80
"32",1999,13,"B",90
"33",1999,17,"C",90
"34",1999,22,"C",100
"35",1999,29,"D",35
"36",1999,30,"D",40
"37",1999,80,"A",95
"38",1999,81,"C",135
"39",1999,88,"B",55
"40",1999,99,"A",115
"41",1999,100,"A",125
"42",1999,102,"C",135
"43",1999,110,"C",155
"44",1999,112,"B",115
"45",1999,114,"B",105
"46",1999,117,"A",105
"47",1999,118,"A",155
"48",1999,123,"A",135
"49",1999,124,"A",120
"50",1999,126,"B",130
"51",1999,127,"B",125
"52",1999,129,"A",125
"53",1999,130,"B",115
"54",1999,131,"B",135
"55",1999,137,"C",125
"56",1999,139,"D",110
"57",1999,140,"D",100
"58",2000,1,"A",125
"59",2000,2,"A",105
"60",2000,3,"A",115
"61",2000,4,"B",95
"62",2000,5,"B",50
"63",2000,9,"B",90
"64",2000,11,"B",115
"65",2000,12,"B",100
"66",2000,13,"B",95
"67",2000,28,"D",100
"68",2000,76,"B",80
"69",2000,92,"D",125
"70",2000,100,"A",90
"71",2000,101,"B",115
"72",2000,109,"A",105
"73",2000,112,"B",90
"74",2000,114,"B",95
"75",2000,115,"A",120
"76",2000,117,"A",125
"77",2000,118,"A",115
"78",2000,119,"A",100
"79",2000,120,"A",105
"80",2000,121,"A",95
"81",2000,122,"A",125
"82",2000,125,"A",95
"83",2000,126,"B",110
"84",2000,129,"B",110
"85",2001,1,"A",85
"86",2001,2,"A",65
"87",2001,3,"A",100
"88",2001,6,"B",70
"89",2001,8,"B",105
"90",2001,12,"B",90
"91",2001,22,"C",85
"92",2001,75,"B",100
"93",2001,76,"B",105
"94",2001,80,"A",115
"95",2001,88,"B",110
"96",2001,99,"A",95
"97",2001,100,"A",105
"98",2001,102,"C",115
"99",2001,104,"B",105
"100",2001,107,"C",130
"101",2001,108,"B",100
"102",2001,109,"A",120
"103",2001,112,"B",95
"104",2001,115,"A",95
"105",2001,117,"A",105
"106",2001,118,"A",90
"107",2001,119,"A",100
"108",2001,121,"A",105
"109",2001,122,"A",95
"110",2001,123,"A",105
"111",2001,124,"A",105
"112",2001,125,"A",105
"113",2001,126,"B",95
"114",2001,127,"B",135
"115",2001,128,"B",115
"116",2001,129,"B",115
"117",2001,131,"B",110
"118",2001,136,"C",125
"119",2002,1,"A",85
"120",2002,80,"A",130
"121",2002,95,"C",185
"122",2002,97,"C",135
"123",2002,99,"A",115
"124",2002,101,"B",140
"125",2002,102,"C",125
"126",2002,103,"C",135
"127",2002,105,"B",85
"128",2002,106,"C",105
"129",2002,107,"C",115
"130",2002,109,"A",110
"131",2002,110,"C",100
"132",2002,112,"B",130
"133",2002,117,"A",115
"134",2002,118,"A",125
"135",2002,124,"A",125
"136",2002,126,"B",115
"137",2002,131,"B",115
"138",2002,137,"C",130
"139",2004,1,"A",90.9999999999991
"140",2004,2,"A",75
"141",2004,8,"B",120
"142",2004,10,"B",80
"143",2004,11,"B",105
"144",2004,12,"B",85
"145",2004,13,"B",85
"146",2004,76,"B",145
"147",2004,80,"A",100
"148",2004,88,"B",100
"149",2004,104,"B",100
"150",2004,108,"B",115
"151",2004,109,"A",85
"152",2004,117,"A",100
"153",2004,121,"A",150
"154",2004,123,"B",100
"155",2004,125,"A",85
"156",2004,126,"B",100
"157",2004,129,"B",90
"158",2005,4,"B",80
"159",2005,13,"B",80
"160",2005,15,"C",70
"161",2005,17,"C",45
"162",2005,75,"B",75
"163",2005,76,"B",85
"164",2005,81,"C",40
"165",2005,88,"B",100
"166",2005,99,"A",95
"167",2005,102,"C",90
"168",2005,104,"B",105
"169",2005,105,"B",105
"170",2005,108,"B",90
"171",2005,111,"C",90
"172",2005,112,"B",85
"173",2005,118,"A",100
"174",2005,123,"A",80
"175",2005,124,"A",80
"176",2005,125,"A",90
"177",2005,128,"B",105
"178",2005,129,"B",90
"179",2005,131,"B",100
"180",2005,132,"C",80
"181",2006,1,"A",105
"182",2006,2,"A",105
"183",2006,8,"B",115
"184",2006,21,"C",75
"185",2006,22,"C",75
"186",2006,27,"D",85
"187",2006,99,"A",80
"188",2006,100,"A",100
"189",2006,101,"B",90
"190",2006,103,"C",85
"191",2006,104,"B",110
"192",2006,105,"B",90
"193",2006,108,"B",100
"194",2006,109,"A",90
"195",2006,117,"A",100
"196",2006,118,"A",95
"197",2006,123,"A",90
"198",2006,124,"A",100
"199",2006,125,"A",95
"200",2006,128,"B",125
"201",2006,129,"B",85
"202",2007,1,"A",100
"203",2007,2,"A",110
"204",2007,4,"B",100
"205",2007,6,"B",80
"206",2007,8,"B",65
"207",2007,12,"B",90
"208",2007,17,"C",60
"209",2007,75,"B",80
"210",2007,76,"B",75
"211",2007,80,"A",90
"212",2007,88,"B",95
"213",2007,90,"C",65
"214",2007,99,"A",100
"215",2007,100,"A",95
"216",2007,101,"B",95
"217",2007,104,"B",100
"218",2007,105,"B",100
"219",2007,108,"B",95
"220",2007,109,"A",100
"221",2007,110,"C",110
"222",2007,111,"C",85
"223",2007,112,"B",100
"224",2007,113,"C",85
"225",2007,117,"A",95
"226",2007,118,"A",90
"227",2007,121,"A",90
"228",2007,123,"A",90
"229",2007,125,"A",85
"230",2007,126,"B",100
"231",2007,129,"B",60
"232",2007,131,"B",105
"233",2007,133,"C",50
"234",2007,135,"C",95
"235",2007,136,"C",100
"236",2008,1,"A",100
"237",2008,2,"A",110
"238",2008,8,"B",80
"239",2008,12,"B",90
"240",2008,13,"B",200
"241",2008,22,"C",110
"242",2008,23,"C",130
"243",2008,27,"D",100
"244",2008,75,"B",55
"245",2008,80,"A",50
"246",2008,100,"A",100
"247",2008,101,"B",85
"248",2008,105,"B",75
"249",2008,107,"C",70
"250",2008,109,"A",90
