"Length","Year","Frequency"
15,1998,0
40,1998,0.408259209008269
50,1998,0.612388813512404
55,1998,0.204129604504135
60,1998,1.03837872563297
65,1998,0.589231028541578
70,1998,0.385101424037443
75,1998,0.204129604504135
80,1998,0.612388813512404
85,1998,0.566073243570752
90,1998,2.25772927079924
95,1998,1.60987905106225
100,1998,1.94866490515804
105,1998,1.20161984205398
110,1998,4.39822015920766
115,1998,1.17846205708316
120,1998,1.33627609164564
125,1998,0.566073243570752
130,1998,0.361943639066617
135,1998,0.204129604504135
150,1998,0.180971819533309
165,1998,0
15,1999,0
25,1999,0.229450022392217
35,1999,0.137550175298243
40,1999,0.688306900882801
45,1999,2.04680467118516
50,1999,2.01447747793178
55,1999,3.8824048503229
60,1999,0.229450022392217
65,1999,1.83560017913774
70,1999,1.32612741075513
75,1999,3.06058214269652
80,1999,0.637777343578478
85,1999,3.35880725273786
90,1999,1.30788188041033
95,1999,2.17023001728097
100,1999,1.88612973644206
105,1999,2.44100716316899
110,1999,0.0687750876491213
115,1999,1.25730915681216
120,1999,0.229450022392217
125,1999,1.53733190280255
130,1999,0.357754597588086
135,1999,1.16133177486967
155,1999,0.491227238037812
165,1999,0.178877298794043
15,2000,0
45,2000,0.227780966467383
50,2000,0.184717950759384
55,2000,0.868060850161534
60,2000,0.455561932934767
65,2000,0.184717950759384
70,2000,0.227780966467383
75,2000,0.940914053943454
80,2000,1.80897490410499
85,2000,1.2374967516803
90,2000,1.64999566890707
95,2000,3.20139941847075
100,2000,2.26372989733306
105,2000,1.83471361966645
110,2000,0.369435901518768
115,2000,1.2805597673883
120,2000,0.227780966467383
125,2000,0.75619610318407
165,2000,0
15,2001,0
25,2001,0.253493625785332
30,2001,0.506987251570663
45,2001,1.36558803873893
55,2001,0.825538178964932
60,2001,0.60510716138294
65,2001,1.73535519497442
70,2001,1.21021432276588
75,2001,2.31236941067584
80,2001,1.76344814065593
85,2001,6.15391487165789
90,2001,2.12003133877536
95,2001,5.75995651746497
100,2001,1.67916930361138
105,2001,4.5034956283797
110,2001,1.43064534034787
115,2001,2.02688109148491
120,2001,0.853631124646449
125,2001,0.253493625785332
130,2001,0.253493625785332
135,2001,0.192338071900474
165,2001,0
15,2002,0
30,2002,0.277708453807687
35,2002,1.11083381523075
40,2002,0.555416907615374
50,2002,0.277708453807687
60,2002,0.277708453807687
65,2002,0.887806893208163
75,2002,1.27487841058605
80,2002,1.22019687880095
85,2002,0.851614334026139
90,2002,0.277708453807687
95,2002,1.32955994237115
100,2002,1.7941027590194
105,2002,2.09030018543017
110,2002,1.1478117604369
115,2002,4.03504474810811
125,2002,1.83029531820143
130,2002,1.0931302286518
135,2002,0.555416907615374
140,2002,0.241515894625663
145,2002,0.555416907615374
165,2002,0
185,2002,0.277708453807687
15,2003,0
65,2003,0
115,2003,0
165,2003,0
15,2004,0
40,2004,0.862962414641723
50,2004,0.700947309877127
55,2004,2.80378923950851
60,2004,0.700947309877127
65,2004,3.72047715304607
70,2004,0.700947309877127
75,2004,2.80378923950851
80,2004,2.48059763805641
85,2004,2.75006374061267
90,2004,1.26716156847612
95,2004,0.215740603660431
100,2004,1.77965032817928
