"","year","haul_number","stratum","Val_haul"
"1",1994,75,"B",130
"2",1994,76,"B",150
"3",1994,81,"C",170
"4",1994,82,"D",140
"5",1994,83,"C",115
"6",1994,84,"C",140
"7",1994,85,"D",130
"8",1994,88,"B",120
"9",1994,89,"C",100
"10",1994,90,"C",140
"11",1994,92,"D",130
"12",1994,93,"C",140
"13",1994,95,"C",225
"14",1994,97,"C",150
"15",1994,101,"B",125
"16",1994,102,"C",110
"17",1994,103,"C",150
"18",1994,106,"C",150
"19",1994,107,"C",125
"20",1994,108,"C",150
"21",1994,110,"C",120
"22",1994,111,"C",160
"23",1994,113,"C",105
"24",1994,126,"B",200
"25",1994,128,"B",125
"26",1994,130,"B",130
"27",1994,131,"B",80
"28",1994,133,"C",100
"29",1994,134,"C",95
"30",1994,135,"C",120
"31",1994,136,"C",155
"32",1994,137,"C",115
"33",1994,138,"C",115
"34",1994,139,"D",145
"35",1994,140,"D",100
"36",1994,141,"D",145
"37",1994,142,"D",140
"38",1995,83,"C",155
"39",1995,84,"C",155
"40",1995,93,"C",130
"41",1995,94,"D",160
"42",1995,95,"C",155
"43",1995,97,"C",115
"44",1995,102,"C",105
"45",1995,103,"C",115
"46",1995,104,"B",30
"47",1995,106,"C",125
"48",1995,107,"C",115
"49",1995,108,"B",35
"50",1995,111,"C",35
"51",1995,113,"C",115
"52",1995,133,"C",125
"53",1995,134,"C",170
"54",1995,135,"C",35
"55",1995,136,"C",125
"56",1995,137,"C",115
"57",1995,140,"D",140
"58",1996,9,"B",125
"59",1996,10,"B",145
"60",1996,11,"B",125
"61",1996,12,"B",115
"62",1996,13,"B",140
"63",1996,14,"C",140
"64",1996,15,"C",120
"65",1996,16,"C",105
"66",1996,17,"C",120
"67",1996,18,"C",115
"68",1996,20,"C",125
"69",1996,21,"C",95
"70",1996,22,"C",125
"71",1996,23,"C",115
"72",1996,24,"D",135
"73",1996,25,"D",135
"74",1996,26,"D",135
"75",1996,27,"D",130
"76",1996,28,"D",115
"77",1996,29,"D",100
"78",1996,30,"D",135
"79",1996,31,"D",105
"80",1996,33,"E",30
"81",1996,38,"E",105
"82",1996,75,"B",75
"83",1996,76,"B",40
"84",1996,81,"C",115
"85",1996,83,"C",135
"86",1996,84,"C",150
"87",1996,89,"C",165
"88",1996,93,"C",150
"89",1996,95,"C",150
"90",1996,97,"C",125
"91",1996,102,"C",115
"92",1996,103,"C",155
"93",1996,104,"B",45
"94",1996,106,"C",150
"95",1996,107,"C",145
"96",1996,110,"C",90
"97",1996,111,"C",30
"98",1996,128,"B",25
"99",1996,133,"C",100
"100",1996,134,"C",135
"101",1996,135,"C",25
"102",1996,137,"C",105
"103",1996,138,"C",25
"104",1996,139,"D",95
"105",1996,140,"D",95
"106",1996,141,"D",95
"107",1997,4,"B",45
"108",1997,5,"B",50
"109",1997,6,"B",125
"110",1997,7,"B",105
"111",1997,9,"B",55
"112",1997,10,"B",120
"113",1997,11,"B",120
"114",1997,15,"C",120
"115",1997,16,"C",40
"116",1997,17,"C",120
"117",1997,18,"C",85
"118",1997,19,"C",110
"119",1997,20,"C",140
"120",1997,21,"C",115
"121",1997,22,"C",135
"122",1997,23,"C",95
"123",1997,24,"D",135
"124",1997,25,"D",125
"125",1997,26,"D",105
"126",1997,27,"D",130
"127",1997,28,"D",115
"128",1997,29,"D",105
"129",1997,30,"D",50
"130",1997,31,"D",120
"131",1997,75,"B",145
"132",1997,79,"C",35
"133",1997,83,"C",135
"134",1997,84,"C",35
"135",1997,89,"C",145
"136",1997,92,"D",155
"137",1997,93,"C",35
"138",1997,95,"C",155
"139",1997,97,"C",155
"140",1997,102,"C",130
"141",1997,103,"C",130
"142",1997,104,"B",135
"143",1997,106,"C",100
"144",1997,107,"C",130
"145",1997,108,"B",35
"146",1997,110,"C",155
"147",1997,111,"C",30
"148",1997,112,"B",40
"149",1997,113,"C",125
"150",1997,131,"B",45
"151",1997,132,"C",115
"152",1997,133,"C",40
"153",1997,134,"C",105
"154",1997,135,"C",110
"155",1997,136,"C",140
"156",1997,137,"C",45
"157",1997,140,"D",185
"158",1997,141,"D",125
"159",1998,11,"B",115
"160",1998,14,"C",115
"161",1998,15,"C",45
"162",1998,16,"C",105
"163",1998,17,"C",110
"164",1998,18,"C",115
"165",1998,21,"C",110
"166",1998,23,"C",100
"167",1998,24,"D",115
"168",1998,25,"D",120
"169",1998,26,"D",120
"170",1998,27,"D",110
"171",1998,28,"D",85
"172",1998,29,"D",115
"173",1998,30,"D",100
"174",1998,31,"D",115
"175",1998,76,"B",160
"176",1998,77,"D",145
"177",1998,79,"C",135
"178",1998,81,"C",115
"179",1998,83,"C",115
"180",1998,84,"C",120
"181",1998,89,"C",155
"182",1998,90,"C",115
"183",1998,93,"C",120
"184",1998,95,"C",125
"185",1998,97,"C",140
"186",1998,102,"C",135
"187",1998,103,"C",105
"188",1998,104,"B",150
"189",1998,107,"C",140
"190",1998,110,"C",115
"191",1998,111,"C",115
"192",1998,113,"C",126
"193",1998,132,"C",105
"194",1998,133,"C",105
"195",1998,134,"C",120
"196",1998,135,"C",110
"197",1998,136,"C",125
"198",1998,137,"C",105
"199",1998,138,"C",120
"200",1998,139,"D",115
"201",1998,140,"D",95
"202",1998,142,"D",135
"203",1999,5,"B",70
"204",1999,16,"C",135
"205",1999,24,"D",110
"206",1999,25,"D",110
"207",1999,26,"D",135
"208",1999,28,"D",85
"209",1999,77,"D",135
"210",1999,79,"C",105
"211",1999,81,"C",155
"212",1999,83,"C",45
"213",1999,95,"C",45
"214",1999,97,"C",50
"215",1999,104,"B",55
"216",1999,105,"B",40
"217",1999,106,"C",115
"218",1999,107,"C",55
"219",1999,108,"B",50
"220",1999,113,"C",40
"221",1999,125,"A",45
"222",1999,127,"B",40
"223",1999,128,"B",50
"224",1999,132,"C",35
"225",1999,134,"C",45
"226",1999,135,"C",105
"227",1999,136,"C",145
"228",1999,138,"C",40
"229",1999,139,"D",115
"230",1999,140,"D",105
"231",1999,141,"D",125
"232",1999,142,"D",140
"233",2000,4,"B",130
"234",2000,6,"B",105
"235",2000,10,"B",135
"236",2000,15,"C",105
"237",2000,16,"C",140
"238",2000,17,"C",95
"239",2000,18,"C",75
"240",2000,20,"C",105
"241",2000,21,"C",80
"242",2000,22,"C",120
"243",2000,23,"C",140
"244",2000,24,"D",105
"245",2000,25,"D",95
"246",2000,27,"D",195
"247",2000,30,"D",90
"248",2000,33,"E",105
"249",2000,75,"B",95
"250",2000,76,"B",45
"251",2000,77,"D",120
"252",2000,79,"C",125
"253",2000,81,"C",110
"254",2000,82,"D",115
"255",2000,83,"C",115
"256",2000,89,"C",125
"257",2000,90,"C",115
"258",2000,93,"C",135
"259",2000,94,"D",125
"260",2000,95,"C",115
"261",2000,96,"D",135
