"vessel","Year","month","day","haul_number","sqkm","Stratum","X","Y","hauling_depth","doy","Hauls"
"PEC",2017,10,20,178,0.0915013,"E",18.426,41.8393333333333,733,293,13
"PEC",2017,10,19,170,0.1011513,"E",18.7456666666667,41.0833333333333,567,292,13
"PEC",2017,10,21,32,0.1018654,"E",18.7761666666667,40.9803333333333,596,294,13
"PEC",2017,10,10,139,0.1088976,"D",16.8216666666667,41.9391666666667,227,283,11
"PEC",2017,10,12,116,0.099009,"E",17.1666666666667,41.5338333333333,547,285,13
"PEC",2017,10,19,33,0.1025795,"E",18.8278333333333,40.8915,551,292,13
"PEC",2017,10,10,146,0.051015,"C",16.7686666666667,41.901,169,283,24
"PEC",2017,10,19,39,0.1011513,"E",18.9956666666667,40.6701666666667,513,292,13
"PEC",2017,10,10,144,0.1022321,"E",17.0216666666667,42.1205,618,283,13
"PEC",2017,10,19,38,0.103641,"E",18.9131666666667,40.776,513,292,13
"PEC",2017,10,21,168,0.1019984,"D",18.7605,41.4645,391,294,11
"PEC",2017,10,15,152,0.1043551,"E",17.8383333333333,41.0495,623,288,13
"PEC",2017,10,17,77,0.1045464,"D",18.6203333333333,40.3881666666667,407,290,11
"PEC",2017,10,10,145,0.1038212,"D",16.9486666666667,42.1758333333333,391,283,11
"PEC",2017,10,10,143,0.1040077,"E",17.0148333333333,42.0185,569,283,13
"PEC",2017,10,11,162,0.052421,"C",16.7253333333333,41.8211666666667,133,284,24
"PEC",2017,10,17,85,0.1034488,"D",18.5416666666667,40.6755,503,290,11
"PEC",2017,10,19,167,0.1063496,"D",18.8858333333333,40.8826666666667,355,292,11
"PEC",2017,10,20,174,0.1019984,"D",18.483,42.0496666666667,267,293,11
"PEC",2017,10,17,78,0.1014987,"E",18.6411666666667,40.4586666666667,551,290,13
"PEC",2017,10,17,86,0.0965,"E",18.6181666666667,40.6088333333333,531,290,13
"PEC",2017,10,11,148,0.046094,"C",16.7438333333333,41.6048333333333,104,284,24
"PEC",2017,10,20,177,0.1070748,"D",18.6035,41.784,267,293,11
"PEC",2017,10,17,98,0.1004372,"E",18.3825,40.782,502,290,13
"PEC",2017,10,12,142,0.1056244,"D",17.0976666666667,41.5126666666667,393,285,11
"PEC",2017,10,11,147,0.052421,"C",16.6991666666667,41.6981666666667,102,284,24
"PEC",2017,10,15,151,0.1070748,"D",17.8396666666667,41.0195,307,288,11
"PEC",2017,10,21,26,0.1059968,"D",18.8608333333333,41.1178333333333,291,294,11
"PEC",2017,10,16,158,0.052782,"C",18.1063333333333,40.7156666666667,113,289,24
"PEC",2017,10,12,138,0.051376,"C",16.8561666666667,41.3235,104,285,24
"PEC",2017,10,14,161,0.052421,"C",17.3085,41.1176666666667,120,287,24
"PEC",2017,10,20,179,0.052782,"C",18.619,42.0553333333333,147,293,24
"PEC",2017,10,18,157,0.052421,"C",18.5115,40.4118333333333,108,291,24
"PEC",2017,10,12,137,0.052782,"C",16.8843333333333,41.5635,124,285,24
"PEC",2017,10,12,110,0.051376,"C",16.8478333333333,41.4493333333333,109,285,24
"PEC",2017,10,18,93,0.052782,"C",18.3643333333333,40.665,117,291,24
"PEC",2017,10,13,107,0.052782,"C",16.974,41.2473333333333,113,286,24
"PEC",2017,10,14,150,0.051357,"C",17.4698333333333,41.0475,127,287,24
"PEC",2017,10,15,133,0.052421,"C",17.5956666666667,40.9768333333333,104,288,24
"PEC",2017,10,16,95,0.052782,"C",18.2663333333333,40.7106666666667,120,289,24
"PEC",2017,10,15,132,0.050673,"C",17.6798333333333,40.9041666666667,102,288,24
"PEC",2017,10,18,84,0.052421,"C",18.5198333333333,40.5936666666667,119,291,24
"PEC",2017,10,18,83,0.052782,"C",18.456,40.6421666666667,121,291,24
"PEC",2017,10,16,131,0.04997,"C",17.818,40.8555,104,289,24
"PEC",2017,10,11,126,0.0502818,"B",16.509,41.737,82,284,11
"PEC",2017,10,13,104,0.0502818,"B",17.0566666666667,41.1321666666667,84,286,11
"PEC",2017,10,16,97,0.052782,"C",17.9961666666667,40.7878333333333,111,289,24
"PEC",2017,10,21,166,0.051718,"C",18.9743333333333,41.3215,122,294,24
"PEC",2017,10,21,165,0.052782,"C",18.941,41.1158333333333,129,294,24
"PEC",2017,10,11,129,0.0502818,"B",16.5248333333333,41.6036666666667,76,284,11
"PEC",2017,10,20,176,0.052782,"C",18.7211666666667,41.863,116,293,24
"PEC",2017,10,16,154,0.0492682,"B",17.8328333333333,40.7585,80,289,11
"PEC",2017,10,18,88,0.0492682,"B",18.2676666666667,40.5926666666667,92,291,11
"PEC",2017,10,18,76,0.0502818,"B",18.4498333333333,40.294,85,291,11
"PEC",2017,10,14,134,0.0502818,"B",17.4488333333333,40.9368333333333,69,287,11
