"","Year","Mean_Length(mm)"
"1",1994,144.045836747326
"2",1995,130.669774426127
"3",1996,137.139839386081
"4",1997,140.376511388267
"5",1998,140.74898069132
"6",1999,90.287208666804
"7",2000,109.944467029242
"8",2001,139.507456949487
"9",2002,141.926729462794
"10",2003,144.949536998023
"11",2004,127.281212564407
"12",2005,109.477826976035
"13",2006,129.406179023648
"14",2007,125.946254265533
"15",2008,142.402511341923
"16",2009,138.77799394761
"17",2010,133.257749449373
"18",2011,130.367606963185
"19",2012,126.703107388001
"20",2013,121.978779222403
"21",2014,122.716360420843
"22",2015,130.905974725721
"23",2016,97.5537109705441
"24",2017,99.5068112583275
