"year","area","haul_number","source"
2000,17,91,"no_recruits"
2001,17,135,"no_recruits"
2002,17,1,"no_recruits"
2002,17,2,"no_recruits"
2002,17,3,"no_recruits"
2002,17,35,"no_recruits"
2002,17,44,"no_recruits"
2002,17,61,"no_recruits"
2003,17,112,"no_recruits"
2003,17,32,"no_recruits"
2003,17,34,"no_recruits"
2003,17,36,"no_recruits"
2003,17,56,"no_recruits"
2003,17,63,"no_recruits"
2003,17,89,"no_recruits"
2004,17,86,"no_recruits"
2004,17,87,"no_recruits"
2006,17,22,"no_recruits"
2006,17,99,"no_recruits"
2007,17,100,"no_recruits"
2007,17,33,"no_recruits"
2007,17,40,"no_recruits"
2007,17,41,"no_recruits"
2007,17,72,"no_recruits"
2007,17,78,"no_recruits"
2007,17,81,"no_recruits"
2007,17,9,"no_recruits"
2013,17,180,"no_recruits"
2014,17,1,"no_recruits"
2015,17,174,"no_recruits"
1994,18,109,"no_recruits"
1994,18,120,"no_recruits"
1994,18,121,"no_recruits"
1994,18,125,"no_recruits"
1995,18,123,"no_recruits"
1996,18,121,"no_recruits"
1996,18,123,"no_recruits"
1997,18,2,"no_recruits"
2003,18,19,"no_recruits"
2005,18,109,"no_recruits"
2005,18,117,"no_recruits"
2005,18,80,"no_recruits"
2009,18,121,"no_recruits"
2011,18,121,"no_recruits"
2012,18,121,"no_recruits"
2012,18,135,"no_recruits"
2012,18,80,"no_recruits"
2014,18,135,"no_recruits"
2016,18,156,"no_recruits"
1994,17,1,"no_few"
1994,17,14,"no_few"
1994,17,16,"no_few"
1994,17,17,"no_few"
1994,17,24,"no_few"
1994,17,25,"no_few"
1994,17,26,"no_few"
1994,17,27,"no_few"
1994,17,3,"no_few"
1994,17,35,"no_few"
1994,17,41,"no_few"
1994,17,45,"no_few"
1994,17,5,"no_few"
1994,17,52,"no_few"
1994,17,54,"no_few"
1994,17,58,"no_few"
1994,17,59,"no_few"
1994,17,61,"no_few"
1994,17,62,"no_few"
1994,17,70,"no_few"
1994,17,71,"no_few"
1994,17,72,"no_few"
1994,17,82,"no_few"
1994,17,83,"no_few"
1994,17,85,"no_few"
1995,17,1,"no_few"
1995,17,14,"no_few"
1995,17,18,"no_few"
1995,17,25,"no_few"
1995,17,28,"no_few"
1995,17,3,"no_few"
1995,17,30,"no_few"
1995,17,4,"no_few"
1995,17,41,"no_few"
1995,17,45,"no_few"
1995,17,5,"no_few"
1995,17,56,"no_few"
1995,17,58,"no_few"
1995,17,59,"no_few"
1995,17,61,"no_few"
1995,17,63,"no_few"
1995,17,68,"no_few"
1995,17,69,"no_few"
1995,17,83,"no_few"
1995,17,84,"no_few"
1996,17,105,"no_few"
1996,17,13,"no_few"
1996,17,18,"no_few"
1996,17,19,"no_few"
1996,17,28,"no_few"
1996,17,3,"no_few"
1996,17,35,"no_few"
1996,17,45,"no_few"
1996,17,54,"no_few"
1996,17,55,"no_few"
1996,17,57,"no_few"
1996,17,59,"no_few"
1996,17,6,"no_few"
1996,17,60,"no_few"
1996,17,62,"no_few"
1996,17,63,"no_few"
1997,17,13,"no_few"
1997,17,137,"no_few"
1997,17,16,"no_few"
1997,17,18,"no_few"
1997,17,2,"no_few"
1997,17,20,"no_few"
1997,17,24,"no_few"
1997,17,25,"no_few"
1997,17,27,"no_few"
1997,17,37,"no_few"
1997,17,38,"no_few"
1997,17,40,"no_few"
1997,17,56,"no_few"
1997,17,65,"no_few"
1997,17,67,"no_few"
1997,17,68,"no_few"
1997,17,71,"no_few"
1997,17,75,"no_few"
1997,17,76,"no_few"
1997,17,77,"no_few"
1997,17,79,"no_few"
1997,17,86,"no_few"
1997,17,99,"no_few"
1998,17,1,"no_few"
1998,17,13,"no_few"
1998,17,138,"no_few"
1998,17,21,"no_few"
1998,17,25,"no_few"
1998,17,26,"no_few"
1998,17,27,"no_few"
1998,17,29,"no_few"
1998,17,3,"no_few"
1998,17,33,"no_few"
1998,17,39,"no_few"
1998,17,4,"no_few"
1998,17,47,"no_few"
1998,17,58,"no_few"
1998,17,59,"no_few"
1998,17,63,"no_few"
1998,17,65,"no_few"
1998,17,9,"no_few"
1999,17,13,"no_few"
1999,17,16,"no_few"
1999,17,17,"no_few"
1999,17,19,"no_few"
1999,17,24,"no_few"
1999,17,27,"no_few"
1999,17,33,"no_few"
1999,17,34,"no_few"
1999,17,37,"no_few"
1999,17,38,"no_few"
1999,17,40,"no_few"
1999,17,47,"no_few"
