"","X1","Year","haul_number","stratum","Val_haul","month","Val","RP"
"1",1,"1994",1,"B",115,5,105,"BRP"
"2",2,"1994",2,"B",105,5,105,"BRP"
"3",3,"1994",3,"B",95,5,105,"BRP"
"4",4,"1994",4,"B",105,5,105,"BRP"
"5",5,"1994",5,"B",115,5,105,"BRP"
"6",6,"1994",6,"B",70,5,105,"BRP"
"7",7,"1994",7,"C",75,5,105,"BRP"
"8",8,"1994",8,"C",120,5,105,"BRP"
"9",9,"1994",9,"D",105,5,105,"BRP"
"10",10,"1994",10,"D",105,5,105,"BRP"
"11",11,"1994",11,"C",105,5,105,"BRP"
"12",12,"1994",12,"C",100,5,105,"BRP"
"13",13,"1994",13,"C",85,5,105,"BRP"
"14",14,"1994",14,"B",95,5,105,"BRP"
"15",15,"1994",19,"B",105,5,105,"BRP"
"16",16,"1994",20,"B",100,5,105,"BRP"
"17",17,"1994",63,"C",90,6,105,"BRP"
"18",18,"1994",64,"D",90,6,105,"BRP"
"19",19,"1994",65,"D",95,6,105,"BRP"
"20",20,"1994",66,"C",100,6,105,"BRP"
"21",21,"1994",67,"C",130,6,105,"BRP"
"22",22,"1994",68,"C",115,6,105,"BRP"
"23",23,"1994",69,"C",85,6,105,"BRP"
"24",24,"1994",71,"B",95,6,105,"BRP"
"25",25,"1994",73,"B",105,6,105,"BRP"
"26",26,"1994",74,"B",110,6,105,"BRP"
"27",27,"1994",75,"C",95,6,105,"BRP"
"28",28,"1994",76,"C",85,6,105,"BRP"
"29",29,"1994",77,"C",80,6,105,"BRP"
"30",30,"1994",78,"C",115,6,105,"BRP"
"31",31,"1994",79,"C",125,6,105,"BRP"
"32",32,"1994",80,"D",105,6,105,"BRP"
"33",33,"1994",82,"C",100,6,105,"BRP"
"34",34,"1994",83,"C",70,6,105,"BRP"
"35",35,"1994",84,"C",115,6,105,"BRP"
"36",36,"1994",85,"B",110,6,105,"BRP"
"37",37,"1994",86,"B",105,6,105,"BRP"
"38",38,"1995",1,"B",125,6,130,"BRP"
"39",39,"1995",2,"B",115,6,130,"BRP"
"40",40,"1995",4,"B",105,6,130,"BRP"
"41",41,"1995",5,"B",120,6,130,"BRP"
"42",42,"1995",6,"B",110,6,130,"BRP"
"43",43,"1995",7,"C",130,6,130,"BRP"
"44",44,"1995",8,"C",120,6,130,"BRP"
"45",45,"1995",10,"D",75,6,130,"BRP"
"46",46,"1995",11,"C",105,6,130,"BRP"
"47",47,"1995",12,"C",100,6,130,"BRP"
"48",48,"1995",13,"B",120,6,130,"BRP"
"49",49,"1995",14,"B",110,6,130,"BRP"
"50",50,"1995",20,"B",130,6,130,"BRP"
"51",51,"1995",63,"C",115,6,130,"BRP"
"52",52,"1995",64,"D",130,6,130,"BRP"
"53",53,"1995",65,"D",135,6,130,"BRP"
"54",54,"1995",66,"C",130,6,130,"BRP"
"55",55,"1995",67,"C",35,6,130,"BRP"
"56",56,"1995",68,"C",105,6,130,"BRP"
"57",57,"1995",69,"C",75,6,130,"BRP"
"58",58,"1995",71,"B",25,6,130,"BRP"
"59",59,"1995",72,"A",85,6,130,"BRP"
"60",60,"1995",75,"C",130,6,130,"BRP"
"61",61,"1995",76,"C",110,6,130,"BRP"
"62",62,"1995",77,"C",90,6,130,"BRP"
"63",63,"1995",78,"C",95,6,130,"BRP"
"64",64,"1995",79,"C",120,6,130,"BRP"
"65",65,"1995",82,"C",135,6,130,"BRP"
"66",66,"1995",83,"C",95,6,130,"BRP"
"67",67,"1995",84,"C",135,6,130,"BRP"
"68",68,"1995",85,"B",20,6,130,"BRP"
"69",69,"1995",86,"B",25,6,130,"BRP"
"70",70,"1996",4,"C",80,6,110,"BRP"
"71",71,"1996",5,"C",15,6,110,"BRP"
"72",72,"1996",6,"C",80,6,110,"BRP"
"73",73,"1996",7,"C",85,6,110,"BRP"
"74",74,"1996",9,"D",80,6,110,"BRP"
"75",75,"1996",10,"D",85,6,110,"BRP"
"76",76,"1996",11,"C",100,6,110,"BRP"
"77",77,"1996",12,"B",95,6,110,"BRP"
"78",78,"1996",16,"C",85,6,110,"BRP"
"79",79,"1996",17,"C",75,6,110,"BRP"
"80",80,"1996",18,"C",100,6,110,"BRP"
"81",81,"1996",19,"C",75,6,110,"BRP"
"82",82,"1996",20,"C",70,6,110,"BRP"
"83",83,"1996",21,"D",80,6,110,"BRP"
"84",84,"1996",22,"D",95,6,110,"BRP"
"85",85,"1996",23,"C",110,6,110,"BRP"
"86",86,"1996",24,"C",90,6,110,"BRP"
"87",87,"1996",25,"C",100,6,110,"BRP"
"88",88,"1996",26,"B",95,6,110,"BRP"
"89",89,"1996",27,"B",95,6,110,"BRP"
"90",90,"1996",28,"B",110,6,110,"BRP"
"91",91,"1996",29,"B",105,6,110,"BRP"
"92",92,"1996",31,"B",120,6,110,"BRP"
"93",93,"1996",32,"B",15,6,110,"BRP"
"94",94,"1996",36,"B",20,6,110,"BRP"
"95",95,"1996",37,"C",100,6,110,"BRP"
"96",96,"1996",38,"A",20,6,110,"BRP"
"97",97,"1996",39,"B",100,6,110,"BRP"
"98",98,"1996",46,"B",105,6,110,"BRP"
"99",99,"1996",47,"B",120,6,110,"BRP"
"100",100,"1996",48,"B",110,6,110,"BRP"
"101",101,"1996",104,"C",110,6,110,"BRP"
"102",102,"1996",105,"C",120,6,110,"BRP"
"103",103,"1996",107,"C",115,6,110,"BRP"
"104",104,"1996",132,"D",75,6,110,"BRP"
"105",105,"1997",27,"B",115,6,115,"BRP"
"106",106,"1997",34,"B",25,6,115,"BRP"
"107",107,"1997",36,"B",115,6,115,"BRP"
"108",108,"1997",37,"C",25,6,115,"BRP"
"109",109,"1997",40,"B",25,6,115,"BRP"
"110",110,"1997",42,"B",105,6,115,"BRP"
"111",111,"1997",43,"C",90,6,115,"BRP"
"112",112,"1997",44,"C",25,6,115,"BRP"
"113",113,"1997",45,"D",115,6,115,"BRP"
"114",114,"1997",46,"D",85,6,115,"BRP"
"115",115,"1997",47,"C",85,6,115,"BRP"
"116",116,"1997",48,"C",85,6,115,"BRP"
"117",117,"1997",49,"C",95,6,115,"BRP"
"118",118,"1997",51,"C",105,6,115,"BRP"
"119",119,"1997",52,"C",85,6,115,"BRP"
"120",120,"1997",53,"C",100,6,115,"BRP"
"121",121,"1997",54,"C",110,6,115,"BRP"
"122",122,"1997",55,"C",100,6,115,"BRP"
"123",123,"1997",56,"C",95,6,115,"BRP"
"124",124,"1997",57,"C",25,6,115,"BRP"
"125",125,"1997",58,"D",80,6,115,"BRP"
"126",126,"1997",61,"D",80,6,115,"BRP"
"127",127,"1997",62,"D",90,6,115,"BRP"
"128",128,"1997",63,"C",60,6,115,"BRP"
"129",129,"1997",64,"C",115,6,115,"BRP"
"130",130,"1997",69,"C",90,6,115,"BRP"
"131",131,"1997",70,"C",95,6,115,"BRP"
"132",132,"1997",72,"B",120,6,115,"BRP"
"133",133,"1997",73,"B",105,6,115,"BRP"
"134",134,"1997",74,"B",85,6,115,"BRP"
"135",135,"1997",76,"B",90,6,115,"BRP"
"136",136,"1997",77,"B",105,6,115,"BRP"
"137",137,"1997",106,"B",115,6,115,"BRP"
"138",138,"1997",137,"C",75,6,115,"BRP"
"139",139,"1998",8,"B",130,6,130,"BRP"
"140",140,"1998",10,"B",25,6,130,"BRP"
"141",141,"1998",13,"B",135,6,130,"BRP"
"142",142,"1998",21,"B",115,6,130,"BRP"
"143",143,"1998",22,"C",125,6,130,"BRP"
"144",144,"1998",23,"C",60,6,130,"BRP"
"145",145,"1998",24,"C",130,6,130,"BRP"
"146",146,"1998",28,"B",90,6,130,"BRP"
"147",147,"1998",33,"C",140,6,130,"BRP"
