"","X1","Year","haul_number","stratum","Val_haul","month","Val","RP"
"1",1,"1994",75,"B",240,6,530,"BRP"
"2",2,"1994",81,"C",340,6,530,"BRP"
"3",3,"1994",82,"D",590,6,530,"BRP"
"4",4,"1994",83,"C",530,6,530,"BRP"
"5",5,"1994",84,"C",330,6,530,"BRP"
"6",6,"1994",86,"E",430,6,530,"BRP"
"7",7,"1994",89,"C",530,6,530,"BRP"
"8",8,"1994",90,"C",580,6,530,"BRP"
"9",9,"1994",92,"D",220,6,530,"BRP"
"10",10,"1994",93,"C",450,6,530,"BRP"
"11",11,"1994",94,"D",210,6,530,"BRP"
"12",12,"1994",95,"C",600,6,530,"BRP"
"13",13,"1994",97,"C",290,6,530,"BRP"
"14",14,"1994",103,"C",260,6,530,"BRP"
"15",15,"1994",104,"B",140,6,530,"BRP"
"16",16,"1994",105,"B",310,6,530,"BRP"
"17",17,"1994",107,"C",180,6,530,"BRP"
"18",18,"1994",110,"C",430,7,530,"BRP"
"19",19,"1994",112,"B",180,7,530,"BRP"
"20",20,"1994",113,"C",130,7,530,"BRP"
"21",21,"1994",117,"A",210,7,530,"BRP"
"22",22,"1994",118,"A",180,7,530,"BRP"
"23",23,"1994",126,"B",310,7,530,"BRP"
"24",24,"1994",128,"B",160,7,530,"BRP"
"25",25,"1994",132,"C",350,7,530,"BRP"
"26",26,"1994",133,"C",310,7,530,"BRP"
"27",27,"1994",134,"C",330,7,530,"BRP"
"28",28,"1994",135,"C",170,7,530,"BRP"
"29",29,"1994",136,"C",260,7,530,"BRP"
"30",30,"1994",137,"C",260,7,530,"BRP"
"31",31,"1994",138,"C",250,7,530,"BRP"
"32",32,"1994",139,"D",490,7,530,"BRP"
"33",33,"1994",140,"D",620,7,530,"BRP"
"34",34,"1994",142,"D",110,7,530,"BRP"
"35",35,"1994",146,"E",360,7,530,"BRP"
"36",36,"1995",75,"B",90,6,620,"BRP"
"37",37,"1995",77,"D",725,6,620,"BRP"
"38",38,"1995",79,"C",350,6,620,"BRP"
"39",39,"1995",81,"C",120,6,620,"BRP"
"40",40,"1995",83,"C",400,6,620,"BRP"
"41",41,"1995",84,"C",410,6,620,"BRP"
"42",42,"1995",88,"B",290,6,620,"BRP"
"43",43,"1995",89,"C",380,6,620,"BRP"
"44",44,"1995",90,"C",485,6,620,"BRP"
"45",45,"1995",93,"C",700,6,620,"BRP"
"46",46,"1995",95,"C",620,6,620,"BRP"
"47",47,"1995",97,"C",270,6,620,"BRP"
"48",48,"1995",102,"C",265,6,620,"BRP"
"49",49,"1995",113,"C",105,7,620,"BRP"
"50",50,"1995",124,"A",135,7,620,"BRP"
"51",51,"1995",127,"B",135,7,620,"BRP"
"52",52,"1995",128,"B",125,7,620,"BRP"
"53",53,"1995",130,"B",180,7,620,"BRP"
"54",54,"1995",132,"C",240,7,620,"BRP"
"55",55,"1995",133,"C",230,7,620,"BRP"
"56",56,"1995",134,"C",285,7,620,"BRP"
"57",57,"1995",135,"C",145,7,620,"BRP"
"58",58,"1995",136,"C",250,7,620,"BRP"
"59",59,"1995",137,"C",115,7,620,"BRP"
"60",60,"1995",139,"D",330,7,620,"BRP"
"61",61,"1995",146,"E",480,7,620,"BRP"
"62",62,"1996",2,"A",440,7,440,"BRP"
"63",63,"1996",4,"B",230,7,440,"BRP"
"64",64,"1996",5,"B",235,7,440,"BRP"
"65",65,"1996",6,"B",395,7,440,"BRP"
"66",66,"1996",8,"B",390,7,440,"BRP"
"67",67,"1996",9,"B",420,7,440,"BRP"
"68",68,"1996",11,"B",450,7,440,"BRP"
"69",69,"1996",14,"C",225,7,440,"BRP"
"70",70,"1996",17,"C",345,7,440,"BRP"
"71",71,"1996",18,"C",80,7,440,"BRP"
"72",72,"1996",19,"C",215,7,440,"BRP"
"73",73,"1996",20,"C",375,7,440,"BRP"
"74",74,"1996",21,"C",320,7,440,"BRP"
"75",75,"1996",22,"C",290,7,440,"BRP"
"76",76,"1996",23,"C",395,7,440,"BRP"
"77",77,"1996",24,"D",210,7,440,"BRP"
"78",78,"1996",25,"D",395,7,440,"BRP"
"79",79,"1996",26,"D",410,7,440,"BRP"
"80",80,"1996",27,"D",505,7,440,"BRP"
"81",81,"1996",29,"D",110,7,440,"BRP"
"82",82,"1996",30,"D",95,7,440,"BRP"
"83",83,"1996",31,"D",195,7,440,"BRP"
"84",84,"1996",39,"E",110,7,440,"BRP"
"85",85,"1996",75,"B",130,6,440,"BRP"
"86",86,"1996",76,"B",250,6,440,"BRP"
"87",87,"1996",77,"D",440,6,440,"BRP"
"88",88,"1996",79,"D",240,6,440,"BRP"
"89",89,"1996",81,"C",220,6,440,"BRP"
"90",90,"1996",82,"D",260,6,440,"BRP"
"91",91,"1996",83,"C",240,6,440,"BRP"
"92",92,"1996",84,"C",125,6,440,"BRP"
"93",93,"1996",88,"B",120,6,440,"BRP"
"94",94,"1996",89,"C",550,6,440,"BRP"
"95",95,"1996",90,"C",145,6,440,"BRP"
"96",96,"1996",92,"D",105,6,440,"BRP"
"97",97,"1996",93,"C",210,7,440,"BRP"
"98",98,"1996",94,"D",425,6,440,"BRP"
"99",99,"1996",95,"C",490,7,440,"BRP"
"100",100,"1996",97,"C",300,7,440,"BRP"
"101",101,"1996",101,"B",135,7,440,"BRP"
"102",102,"1996",102,"C",145,7,440,"BRP"
"103",103,"1996",103,"C",260,7,440,"BRP"
"104",104,"1996",104,"B",115,7,440,"BRP"
"105",105,"1996",106,"C",285,7,440,"BRP"
"106",106,"1996",107,"C",135,7,440,"BRP"
"107",107,"1996",108,"B",155,7,440,"BRP"
"108",108,"1996",110,"C",460,7,440,"BRP"
"109",109,"1996",111,"C",130,7,440,"BRP"
"110",110,"1996",114,"B",125,7,440,"BRP"
"111",111,"1996",128,"B",130,7,440,"BRP"
"112",112,"1996",131,"B",125,7,440,"BRP"
"113",113,"1996",132,"C",150,7,440,"BRP"
"114",114,"1996",133,"C",255,7,440,"BRP"
"115",115,"1996",134,"C",195,7,440,"BRP"
"116",116,"1996",136,"C",135,7,440,"BRP"
"117",117,"1996",137,"C",380,7,440,"BRP"
"118",118,"1996",138,"C",225,7,440,"BRP"
"119",119,"1996",139,"D",570,7,440,"BRP"
